source,source_location,target,target_location,source_coordinates,target_coordinates
0,Bremen,1,Berlin,"(8.8071646, 53.0758196)","(13.3888599, 52.5170365)"
0,Bremen,2,Frankfurt,"(8.8071646, 53.0758196)","(8.6820917, 50.1106444)"
0,Bremen,4,Leipzig,"(8.8071646, 53.0758196)","(12.3747329, 51.3406321)"
0,Bremen,5,Stuttgart,"(8.8071646, 53.0758196)","(9.1800132, 48.7784485)"
0,Bremen,8,Bremen,"(8.8071646, 53.0758196)","(8.8071646, 53.0758196)"
0,Bremen,9,Frankfurt,"(8.8071646, 53.0758196)","(8.6820917, 50.1106444)"
0,Bremen,10,Frankfurt,"(8.8071646, 53.0758196)","(8.6820917, 50.1106444)"
0,Bremen,12,Stuttgart,"(8.8071646, 53.0758196)","(9.1800132, 48.7784485)"
0,Bremen,13,Cologne,"(8.8071646, 53.0758196)","(6.959974, 50.938361)"
0,Bremen,15,Frankfurt,"(8.8071646, 53.0758196)","(8.6820917, 50.1106444)"
0,Bremen,25,Frankfurt,"(8.8071646, 53.0758196)","(8.6820917, 50.1106444)"
0,Bremen,28,Cologne,"(8.8071646, 53.0758196)","(6.959974, 50.938361)"
0,Bremen,32,Cologne,"(8.8071646, 53.0758196)","(6.959974, 50.938361)"
0,Bremen,41,Frankfurt,"(8.8071646, 53.0758196)","(8.6820917, 50.1106444)"
0,Bremen,42,Stuttgart,"(8.8071646, 53.0758196)","(9.1800132, 48.7784485)"
0,Bremen,55,Dresden,"(8.8071646, 53.0758196)","(13.7381437, 51.0493286)"
0,Bremen,56,Bremen,"(8.8071646, 53.0758196)","(8.8071646, 53.0758196)"
0,Bremen,69,Bremen,"(8.8071646, 53.0758196)","(8.8071646, 53.0758196)"
0,Bremen,73,Bremen,"(8.8071646, 53.0758196)","(8.8071646, 53.0758196)"
0,Bremen,76,Cologne,"(8.8071646, 53.0758196)","(6.959974, 50.938361)"
0,Bremen,78,Stuttgart,"(8.8071646, 53.0758196)","(9.1800132, 48.7784485)"
0,Bremen,97,Stuttgart,"(8.8071646, 53.0758196)","(9.1800132, 48.7784485)"
0,Bremen,99,Berlin,"(8.8071646, 53.0758196)","(13.3888599, 52.5170365)"
