source,source_location,target,target_location,source_coordinates,target_coordinates
1,London,10,Cork,"(-0.1277653, 51.5074456)","(-8.4654674, 51.897077)"
2,Manchester,14,Edinburgh,"(-2.2451148, 53.4794892)","(-3.1883749, 55.9533456)"
2,Manchester,24,Galway,"(-2.2451148, 53.4794892)","(-9.0490601, 53.2744122)"
2,Manchester,28,Cork,"(-2.2451148, 53.4794892)","(-8.4654674, 51.897077)"
2,Manchester,75,Aberdeen,"(-2.2451148, 53.4794892)","(-2.0928095, 57.1482429)"
2,Manchester,79,Galway,"(-2.2451148, 53.4794892)","(-9.0490601, 53.2744122)"
2,Manchester,80,Cork,"(-2.2451148, 53.4794892)","(-8.4654674, 51.897077)"
2,Manchester,81,Galway,"(-2.2451148, 53.4794892)","(-9.0490601, 53.2744122)"
5,Glasgow,23,Cork,"(-4.2501687, 55.861155)","(-8.4654674, 51.897077)"
5,Glasgow,42,Aberdeen,"(-4.2501687, 55.861155)","(-2.0928095, 57.1482429)"
5,Glasgow,49,Glasgow,"(-4.2501687, 55.861155)","(-4.2501687, 55.861155)"
5,Glasgow,58,Aberdeen,"(-4.2501687, 55.861155)","(-2.0928095, 57.1482429)"
8,Galway,63,Plymouth,"(-9.0490601, 53.2744122)","(-4.1424451, 50.3714122)"
10,Cork,53,Edinburgh,"(-8.4654674, 51.897077)","(-3.1883749, 55.9533456)"
10,Cork,67,Galway,"(-8.4654674, 51.897077)","(-9.0490601, 53.2744122)"
14,Edinburgh,93,London,"(-3.1883749, 55.9533456)","(-0.1277653, 51.5074456)"
23,Cork,42,Aberdeen,"(-8.4654674, 51.897077)","(-2.0928095, 57.1482429)"
24,Galway,34,Glasgow,"(-9.0490601, 53.2744122)","(-4.2501687, 55.861155)"
24,Galway,84,Glasgow,"(-9.0490601, 53.2744122)","(-4.2501687, 55.861155)"
26,Cork,47,Plymouth,"(-8.4654674, 51.897077)","(-4.1424451, 50.3714122)"
28,Cork,72,London,"(-8.4654674, 51.897077)","(-0.1277653, 51.5074456)"
41,Dublin,58,Aberdeen,"(-6.2605593, 53.3493795)","(-2.0928095, 57.1482429)"
41,Dublin,95,Manchester,"(-6.2605593, 53.3493795)","(-2.2451148, 53.4794892)"
42,Aberdeen,49,Glasgow,"(-2.0928095, 57.1482429)","(-4.2501687, 55.861155)"
42,Aberdeen,75,Aberdeen,"(-2.0928095, 57.1482429)","(-2.0928095, 57.1482429)"
47,Plymouth,70,London,"(-4.1424451, 50.3714122)","(-0.1277653, 51.5074456)"
49,Glasgow,79,Galway,"(-4.2501687, 55.861155)","(-9.0490601, 53.2744122)"
53,Edinburgh,86,Plymouth,"(-3.1883749, 55.9533456)","(-4.1424451, 50.3714122)"
53,Edinburgh,94,Glasgow,"(-3.1883749, 55.9533456)","(-4.2501687, 55.861155)"
83,Cork,85,Manchester,"(-8.4654674, 51.897077)","(-2.2451148, 53.4794892)"
