source,source_location,target,target_location,source_coordinates,target_coordinates
0,Munich,1,Munich,"(11.5753822, 48.1371079)","(11.5753822, 48.1371079)"
0,Munich,3,Leipzig,"(11.5753822, 48.1371079)","(12.3747329, 51.3406321)"
0,Munich,4,Munich,"(11.5753822, 48.1371079)","(11.5753822, 48.1371079)"
0,Munich,24,Berlin,"(11.5753822, 48.1371079)","(13.3888599, 52.5170365)"
0,Munich,35,Hanover,"(11.5753822, 48.1371079)","(9.7385532, 52.3744779)"
0,Munich,59,Dresden,"(11.5753822, 48.1371079)","(13.7381437, 51.0493286)"
1,Munich,2,Dresden,"(11.5753822, 48.1371079)","(13.7381437, 51.0493286)"
2,Dresden,5,Cologne,"(13.7381437, 51.0493286)","(6.959974, 50.938361)"
2,Dresden,9,Munich,"(13.7381437, 51.0493286)","(11.5753822, 48.1371079)"
2,Dresden,13,Leipzig,"(13.7381437, 51.0493286)","(12.3747329, 51.3406321)"
2,Dresden,20,Dresden,"(13.7381437, 51.0493286)","(13.7381437, 51.0493286)"
2,Dresden,25,Hanover,"(13.7381437, 51.0493286)","(9.7385532, 52.3744779)"
2,Dresden,33,Munich,"(13.7381437, 51.0493286)","(11.5753822, 48.1371079)"
2,Dresden,45,Cologne,"(13.7381437, 51.0493286)","(6.959974, 50.938361)"
2,Dresden,46,Cologne,"(13.7381437, 51.0493286)","(6.959974, 50.938361)"
2,Dresden,88,Bremen,"(13.7381437, 51.0493286)","(8.8071646, 53.0758196)"
5,Cologne,6,Hanover,"(6.959974, 50.938361)","(9.7385532, 52.3744779)"
5,Cologne,11,Leipzig,"(6.959974, 50.938361)","(12.3747329, 51.3406321)"
5,Cologne,48,Cologne,"(6.959974, 50.938361)","(6.959974, 50.938361)"
5,Cologne,60,Dresden,"(6.959974, 50.938361)","(13.7381437, 51.0493286)"
6,Hanover,7,Bremen,"(9.7385532, 52.3744779)","(8.8071646, 53.0758196)"
6,Hanover,10,Stuttgart,"(9.7385532, 52.3744779)","(9.1800132, 48.7784485)"
6,Hanover,12,Stuttgart,"(9.7385532, 52.3744779)","(9.1800132, 48.7784485)"
6,Hanover,21,Leipzig,"(9.7385532, 52.3744779)","(12.3747329, 51.3406321)"
6,Hanover,42,Hanover,"(9.7385532, 52.3744779)","(9.7385532, 52.3744779)"
6,Hanover,43,Bremen,"(9.7385532, 52.3744779)","(8.8071646, 53.0758196)"
6,Hanover,44,Munich,"(9.7385532, 52.3744779)","(11.5753822, 48.1371079)"
6,Hanover,47,Hanover,"(9.7385532, 52.3744779)","(9.7385532, 52.3744779)"
6,Hanover,49,Munich,"(9.7385532, 52.3744779)","(11.5753822, 48.1371079)"
6,Hanover,51,Leipzig,"(9.7385532, 52.3744779)","(12.3747329, 51.3406321)"
6,Hanover,54,Munich,"(9.7385532, 52.3744779)","(11.5753822, 48.1371079)"
6,Hanover,62,Cologne,"(9.7385532, 52.3744779)","(6.959974, 50.938361)"
6,Hanover,67,Hanover,"(9.7385532, 52.3744779)","(9.7385532, 52.3744779)"
6,Hanover,75,Frankfurt,"(9.7385532, 52.3744779)","(8.6820917, 50.1106444)"
6,Hanover,79,Bremen,"(9.7385532, 52.3744779)","(8.8071646, 53.0758196)"
6,Hanover,83,Hanover,"(9.7385532, 52.3744779)","(9.7385532, 52.3744779)"
6,Hanover,84,Leipzig,"(9.7385532, 52.3744779)","(12.3747329, 51.3406321)"
6,Hanover,96,Munich,"(9.7385532, 52.3744779)","(11.5753822, 48.1371079)"
7,Bremen,8,Leipzig,"(8.8071646, 53.0758196)","(12.3747329, 51.3406321)"
7,Bremen,14,Munich,"(8.8071646, 53.0758196)","(11.5753822, 48.1371079)"
7,Bremen,17,Munich,"(8.8071646, 53.0758196)","(11.5753822, 48.1371079)"
7,Bremen,22,Stuttgart,"(8.8071646, 53.0758196)","(9.1800132, 48.7784485)"
