source,source_location,target,target_location,source_coordinates,target_coordinates
0,Cologne,1,Bremen,"(6.959974, 50.938361)","(8.8071646, 53.0758196)"
0,Cologne,2,Hanover,"(6.959974, 50.938361)","(9.7385532, 52.3744779)"
0,Cologne,6,Dresden,"(6.959974, 50.938361)","(13.7381437, 51.0493286)"
0,Cologne,17,Leipzig,"(6.959974, 50.938361)","(12.3747329, 51.3406321)"
0,Cologne,21,Hamburg,"(6.959974, 50.938361)","(10.000654, 53.550341)"
0,Cologne,30,Dresden,"(6.959974, 50.938361)","(13.7381437, 51.0493286)"
0,Cologne,31,Frankfurt,"(6.959974, 50.938361)","(8.6820917, 50.1106444)"
0,Cologne,36,Munich,"(6.959974, 50.938361)","(11.5753822, 48.1371079)"
0,Cologne,70,Munich,"(6.959974, 50.938361)","(11.5753822, 48.1371079)"
0,Cologne,87,Stuttgart,"(6.959974, 50.938361)","(9.1800132, 48.7784485)"
0,Cologne,93,Munich,"(6.959974, 50.938361)","(11.5753822, 48.1371079)"
1,Bremen,3,Munich,"(8.8071646, 53.0758196)","(11.5753822, 48.1371079)"
1,Bremen,5,Berlin,"(8.8071646, 53.0758196)","(13.3888599, 52.5170365)"
1,Bremen,7,Leipzig,"(8.8071646, 53.0758196)","(12.3747329, 51.3406321)"
1,Bremen,9,Hanover,"(8.8071646, 53.0758196)","(9.7385532, 52.3744779)"
1,Bremen,10,Hanover,"(8.8071646, 53.0758196)","(9.7385532, 52.3744779)"
1,Bremen,14,Hanover,"(8.8071646, 53.0758196)","(9.7385532, 52.3744779)"
1,Bremen,15,Dresden,"(8.8071646, 53.0758196)","(13.7381437, 51.0493286)"
1,Bremen,24,Dresden,"(8.8071646, 53.0758196)","(13.7381437, 51.0493286)"
1,Bremen,26,Cologne,"(8.8071646, 53.0758196)","(6.959974, 50.938361)"
1,Bremen,28,Hanover,"(8.8071646, 53.0758196)","(9.7385532, 52.3744779)"
1,Bremen,33,Hanover,"(8.8071646, 53.0758196)","(9.7385532, 52.3744779)"
1,Bremen,37,Dresden,"(8.8071646, 53.0758196)","(13.7381437, 51.0493286)"
1,Bremen,38,Stuttgart,"(8.8071646, 53.0758196)","(9.1800132, 48.7784485)"
1,Bremen,41,Stuttgart,"(8.8071646, 53.0758196)","(9.1800132, 48.7784485)"
1,Bremen,44,Dresden,"(8.8071646, 53.0758196)","(13.7381437, 51.0493286)"
1,Bremen,51,Leipzig,"(8.8071646, 53.0758196)","(12.3747329, 51.3406321)"
1,Bremen,52,Frankfurt,"(8.8071646, 53.0758196)","(8.6820917, 50.1106444)"
