source,source_location,target,target_location,source_coordinates,target_coordinates
0,Dublin,2,Dublin,"(-6.2605593, 53.3493795)","(-6.2605593, 53.3493795)"
0,Dublin,4,Edinburgh,"(-6.2605593, 53.3493795)","(-3.1883749, 55.9533456)"
0,Dublin,9,Galway,"(-6.2605593, 53.3493795)","(-9.0490601, 53.2744122)"
0,Dublin,14,Cork,"(-6.2605593, 53.3493795)","(-8.4654674, 51.897077)"
0,Dublin,16,Aberdeen,"(-6.2605593, 53.3493795)","(-2.0928095, 57.1482429)"
0,Dublin,20,London,"(-6.2605593, 53.3493795)","(-0.1277653, 51.5074456)"
0,Dublin,21,Dublin,"(-6.2605593, 53.3493795)","(-6.2605593, 53.3493795)"
0,Dublin,29,Cork,"(-6.2605593, 53.3493795)","(-8.4654674, 51.897077)"
0,Dublin,39,Galway,"(-6.2605593, 53.3493795)","(-9.0490601, 53.2744122)"
0,Dublin,49,Dublin,"(-6.2605593, 53.3493795)","(-6.2605593, 53.3493795)"
0,Dublin,90,Cork,"(-6.2605593, 53.3493795)","(-8.4654674, 51.897077)"
2,Dublin,4,Edinburgh,"(-6.2605593, 53.3493795)","(-3.1883749, 55.9533456)"
2,Dublin,12,Manchester,"(-6.2605593, 53.3493795)","(-2.2451148, 53.4794892)"
2,Dublin,20,London,"(-6.2605593, 53.3493795)","(-0.1277653, 51.5074456)"
2,Dublin,62,Glasgow,"(-6.2605593, 53.3493795)","(-4.2501687, 55.861155)"
2,Dublin,63,Galway,"(-6.2605593, 53.3493795)","(-9.0490601, 53.2744122)"
2,Dublin,74,Dublin,"(-6.2605593, 53.3493795)","(-6.2605593, 53.3493795)"
2,Dublin,82,Plymouth,"(-6.2605593, 53.3493795)","(-4.1424451, 50.3714122)"
2,Dublin,96,Edinburgh,"(-6.2605593, 53.3493795)","(-3.1883749, 55.9533456)"
4,Edinburgh,6,Dublin,"(-3.1883749, 55.9533456)","(-6.2605593, 53.3493795)"
4,Edinburgh,13,Plymouth,"(-3.1883749, 55.9533456)","(-4.1424451, 50.3714122)"
4,Edinburgh,14,Cork,"(-3.1883749, 55.9533456)","(-8.4654674, 51.897077)"
4,Edinburgh,17,Dublin,"(-3.1883749, 55.9533456)","(-6.2605593, 53.3493795)"
4,Edinburgh,21,Dublin,"(-3.1883749, 55.9533456)","(-6.2605593, 53.3493795)"
4,Edinburgh,38,Glasgow,"(-3.1883749, 55.9533456)","(-4.2501687, 55.861155)"
4,Edinburgh,51,Manchester,"(-3.1883749, 55.9533456)","(-2.2451148, 53.4794892)"
4,Edinburgh,67,Manchester,"(-3.1883749, 55.9533456)","(-2.2451148, 53.4794892)"
6,Dublin,9,Galway,"(-6.2605593, 53.3493795)","(-9.0490601, 53.2744122)"
6,Dublin,17,Dublin,"(-6.2605593, 53.3493795)","(-6.2605593, 53.3493795)"
6,Dublin,40,Glasgow,"(-6.2605593, 53.3493795)","(-4.2501687, 55.861155)"
6,Dublin,54,London,"(-6.2605593, 53.3493795)","(-0.1277653, 51.5074456)"
6,Dublin,60,Dublin,"(-6.2605593, 53.3493795)","(-6.2605593, 53.3493795)"
9,Galway,32,Manchester,"(-9.0490601, 53.2744122)","(-2.2451148, 53.4794892)"
9,Galway,51,Manchester,"(-9.0490601, 53.2744122)","(-2.2451148, 53.4794892)"
9,Galway,54,London,"(-9.0490601, 53.2744122)","(-0.1277653, 51.5074456)"
13,Plymouth,78,Galway,"(-4.1424451, 50.3714122)","(-9.0490601, 53.2744122)"
13,Plymouth,96,Edinburgh,"(-4.1424451, 50.3714122)","(-3.1883749, 55.9533456)"
14,Cork,29,Cork,"(-8.4654674, 51.897077)","(-8.4654674, 51.897077)"
16,Aberdeen,44,Galway,"(-2.0928095, 57.1482429)","(-9.0490601, 53.2744122)"
20,London,39,Galway,"(-0.1277653, 51.5074456)","(-9.0490601, 53.2744122)"
20,London,40,Glasgow,"(-0.1277653, 51.5074456)","(-4.2501687, 55.861155)"
26,Dublin,72,Cork,"(-6.2605593, 53.3493795)","(-8.4654674, 51.897077)"
27,Manchester,41,Aberdeen,"(-2.2451148, 53.4794892)","(-2.0928095, 57.1482429)"
27,Manchester,69,Dublin,"(-2.2451148, 53.4794892)","(-6.2605593, 53.3493795)"
27,Manchester,99,Plymouth,"(-2.2451148, 53.4794892)","(-4.1424451, 50.3714122)"
39,Galway,41,Aberdeen,"(-9.0490601, 53.2744122)","(-2.0928095, 57.1482429)"
41,Aberdeen,49,Dublin,"(-2.0928095, 57.1482429)","(-6.2605593, 53.3493795)"
41,Aberdeen,87,Plymouth,"(-2.0928095, 57.1482429)","(-4.1424451, 50.3714122)"
44,Galway,63,Galway,"(-9.0490601, 53.2744122)","(-9.0490601, 53.2744122)"
51,Manchester,65,London,"(-2.2451148, 53.4794892)","(-0.1277653, 51.5074456)"
63,Galway,69,Dublin,"(-9.0490601, 53.2744122)","(-6.2605593, 53.3493795)"
63,Galway,74,Dublin,"(-9.0490601, 53.2744122)","(-6.2605593, 53.3493795)"
