source,source_location,target,target_location,source_coordinates,target_coordinates
Madrid_0,Madrid,Paris_3,Paris,"(-3.7035825, 40.4167047)","(2.3483915, 48.8534951)"
Madrid_1,Madrid,Lyon_10,Lyon,"(-3.7035825, 40.4167047)","(4.8320114, 45.7578137)"
Madrid_1,Madrid,Lyon_11,Lyon,"(-3.7035825, 40.4167047)","(4.8320114, 45.7578137)"
Madrid_1,Madrid,Lyon_3,Lyon,"(-3.7035825, 40.4167047)","(4.8320114, 45.7578137)"
Madrid_2,Madrid,Marseille_0,Marseille,"(-3.7035825, 40.4167047)","(5.3699525, 43.2961743)"
Madrid_3,Madrid,Paris_3,Paris,"(-3.7035825, 40.4167047)","(2.3483915, 48.8534951)"
Madrid_4,Madrid,Marseille_6,Marseille,"(-3.7035825, 40.4167047)","(5.3699525, 43.2961743)"
Madrid_4,Madrid,Lyon_4,Lyon,"(-3.7035825, 40.4167047)","(4.8320114, 45.7578137)"
Madrid_4,Madrid,Lyon_9,Lyon,"(-3.7035825, 40.4167047)","(4.8320114, 45.7578137)"
Madrid_6,Madrid,Paris_8,Paris,"(-3.7035825, 40.4167047)","(2.3483915, 48.8534951)"
Madrid_6,Madrid,Paris_7,Paris,"(-3.7035825, 40.4167047)","(2.3483915, 48.8534951)"
Madrid_7,Madrid,Marseille_7,Marseille,"(-3.7035825, 40.4167047)","(5.3699525, 43.2961743)"
Madrid_7,Madrid,Marseille_5,Marseille,"(-3.7035825, 40.4167047)","(5.3699525, 43.2961743)"
Madrid_7,Madrid,Paris_6,Paris,"(-3.7035825, 40.4167047)","(2.3483915, 48.8534951)"
Madrid_8,Madrid,Paris_2,Paris,"(-3.7035825, 40.4167047)","(2.3483915, 48.8534951)"
Madrid_8,Madrid,Lyon_9,Lyon,"(-3.7035825, 40.4167047)","(4.8320114, 45.7578137)"
Madrid_11,Madrid,Paris_8,Paris,"(-3.7035825, 40.4167047)","(2.3483915, 48.8534951)"
Barcelona_0,Barcelona,Paris_11,Paris,"(2.1774322, 41.3828939)","(2.3483915, 48.8534951)"
