source,target,source_coordinates,target_coordinates,shared_keywords,source_institution,target_institution,source_location,target_location
Francisco J. García-Peñalvo,Ricardo Colomo-Palacios,POINT (-5.6640182 40.9651572),POINT (-3.76527 40.3281942),"focus group,global software development,software as a service,release planning,product manager,cloud computing,delphi study",Universidad de Salamanca,Universidad Carlos III de Madrid,"Salamanca, Castilla y León, España","Leganés, Comunidad de Madrid, España"
Francisco J. García-Peñalvo,Marc Alier,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939),"open source,sakai,e-learning,ims lti,soa,free software,software as a service,oki,open standards,moodle,lms,interoperability",Universidad de Salamanca,Universitat Politècnica de Catalunya - Barcelona Tech,"Salamanca, Castilla y León, España","Barcelona, 08001, Catalunya, España"
Francisco J. García-Peñalvo,Enric Mayol,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939),"open source,sakai,e-learning,elearning,ims lti,ple,soa,cloud computing,free software,software as a service,oki,open standards,moodle,vle,google docs,interoperability,lms",Universidad de Salamanca,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"Salamanca, Castilla y León, España","Barcelona, 08001, Catalunya, España"
Francisco J. García-Peñalvo,Maria Jose Casañ,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939),"open source,sakai,e-learning,ims lti,soa,free software,software as a service,oki,open standards,moodle,lms,interoperability",Universidad de Salamanca,Universitat Politècnica de Catalunya - Barcelona Tech,"Salamanca, Castilla y León, España","Barcelona, 08001, Catalunya, España"
Francisco J. García-Peñalvo,Jordi Piguillem,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939),"open source,sakai,e-learning,elearning,ims lti,ple,soa,cloud computing,free software,software as a service,oki,open standards,moodle,vle,google docs,interoperability,lms",Universidad de Salamanca,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"Salamanca, Castilla y León, España","Barcelona, 08001, Catalunya, España"
Francisco J. García-Peñalvo,Jeffrey W. Merriman,POINT (-5.6640182 40.9651572),POINT (0.1186637 52.2055314),"open source,sakai,e-learning,ims lti,soa,free software,software as a service,oki,open standards,moodle,lms,interoperability",Universidad de Salamanca,Massachusetts Institute of Technology,"Salamanca, Castilla y León, España","Cambridge, England, United Kingdom"
Francisco J. García-Peñalvo,Miguel Ángel Conde,POINT (-5.6640182 40.9651572),POINT (-5.6640182 40.9651572),"open source,sakai,e-learning,ims lti,soa,free software,software as a service,oki,open standards,moodle,lms,interoperability",Universidad de Salamanca,University of Salamanca,"Salamanca, Castilla y León, España","Salamanca, Castilla y León, España"
Francisco J. García-Peñalvo,Wouter Tebben,POINT (-5.6640182 40.9651572),POINT (4.8924534 52.3730796),"open source,sakai,e-learning,ims lti,soa,free software,software as a service,oki,open standards,moodle,lms,interoperability",Universidad de Salamanca,Free Knowledge Institute,"Salamanca, Castilla y León, España","Amsterdam, Noord-Holland, Nederland"
Francisco J. García-Peñalvo,Stefan Minder,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742),e-learning,Universidad de Salamanca,University of Bern,"Salamanca, Castilla y León, España","Bern, Bern/Berne, Schweiz/Suisse/Svizzera/Svizra"
Francisco J. García-Peñalvo,Michele Notari,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742),e-learning,Universidad de Salamanca,University of Bern,"Salamanca, Castilla y León, España","Bern, Bern/Berne, Schweiz/Suisse/Svizzera/Svizra"
Francisco J. García-Peñalvo,Felix Schmitz,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742),e-learning,Universidad de Salamanca,University of Bern,"Salamanca, Castilla y León, España","Bern, Bern/Berne, Schweiz/Suisse/Svizzera/Svizra"
Francisco J. García-Peñalvo,Rainer Hofer,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742),e-learning,Universidad de Salamanca,University of Bern,"Salamanca, Castilla y León, España","Bern, Bern/Berne, Schweiz/Suisse/Svizzera/Svizra"
Francisco J. García-Peñalvo,Ulrich Woermann,POINT (-5.6640182 40.9651572),POINT (7.4521749 46.9484742),e-learning,Universidad de Salamanca,University of Bern,"Salamanca, Castilla y León, España","Bern, Bern/Berne, Schweiz/Suisse/Svizzera/Svizra"
Francisco J. García-Peñalvo,Eduardo Fernández-Medina,POINT (-5.6640182 40.9651572),POINT (-3.9285138 38.9854201),cloud computing,Universidad de Salamanca,University of Castilla-La Mancha,"Salamanca, Castilla y León, España","Ciudad Real, Castilla-La Mancha, España"
Francisco J. García-Peñalvo,Oscar Rebollo,POINT (-5.6640182 40.9651572),POINT (-3.7035825 40.4167047),cloud computing,Universidad de Salamanca,Ministry of Labour and Immigration,"Salamanca, Castilla y León, España","Madrid, Comunidad de Madrid, España"
Francisco J. García-Peñalvo,Daniel Mellado,POINT (-5.6640182 40.9651572),POINT (-3.7035825 40.4167047),cloud computing,Universidad de Salamanca,Rey Juan Carlos University,"Salamanca, Castilla y León, España","Madrid, Comunidad de Madrid, España"
Francisco J. García-Peñalvo,Marc Alier Forment,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939),"elearning,ple,cloud computing,software as a service,vle,google docs,interoperability,lms",Universidad de Salamanca,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"Salamanca, Castilla y León, España","Barcelona, 08001, Catalunya, España"
Francisco J. García-Peñalvo,Patricia Ordóñez de Pablos,POINT (-5.6640182 40.9651572),POINT (-5.8483581 43.3618625),"interoperability,cloud computing",Universidad de Salamanca,University of Oviedo,"Salamanca, Castilla y León, España","Oviedo / Uviéu, Principado de Asturias, España"
Francisco J. García-Peñalvo,David Griffiths,POINT (-5.6640182 40.9651572),POINT (-2.4300367 53.5782863),interoperability,Universidad de Salamanca,The University of Bolton,"Salamanca, Castilla y León, España","Bolton, England, United Kingdom"
Francisco J. García-Peñalvo,Mark Johnson,POINT (-5.6640182 40.9651572),POINT (-2.4300367 53.5782863),interoperability,Universidad de Salamanca,University of Bolton,"Salamanca, Castilla y León, España","Bolton, England, United Kingdom"
Francisco J. García-Peñalvo,Kris Popat,POINT (-5.6640182 40.9651572),POINT (-2.4300367 53.5782863),interoperability,Universidad de Salamanca,The University of Bolton,"Salamanca, Castilla y León, España","Bolton, England, United Kingdom"
Francisco J. García-Peñalvo,Paul Sharples,POINT (-5.6640182 40.9651572),POINT (-2.4300367 53.5782863),interoperability,Universidad de Salamanca,The University of Bolton,"Salamanca, Castilla y León, España","Bolton, England, United Kingdom"
Francisco J. García-Peñalvo,Scott Wilson,POINT (-5.6640182 40.9651572),POINT (-2.4300367 53.5782863),interoperability,Universidad de Salamanca,The University of Bolton,"Salamanca, Castilla y León, España","Bolton, England, United Kingdom"
Francisco J. García-Peñalvo,Ricardo Queirós,POINT (-5.6640182 40.9651572),POINT (-8.6107884 41.1494512),"interoperability,e-learning",Universidad de Salamanca,CRACS & INESC-Porto LA & DI-ESEIG/IPP,"Salamanca, Castilla y León, España","Porto, Portugal"
Francisco J. García-Peñalvo,José Paulo Leal,POINT (-5.6640182 40.9651572),POINT (-8.6107884 41.1494512),"interoperability,e-learning",Universidad de Salamanca,University of Porto,"Salamanca, Castilla y León, España","Porto, Portugal"
Francisco J. García-Peñalvo,María José Casany,POINT (-5.6640182 40.9651572),POINT (2.1774322 41.3828939),"elearning,ple,cloud computing,software as a service,vle,google docs,interoperability,lms",Universidad de Salamanca,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"Salamanca, Castilla y León, España","Barcelona, 08001, Catalunya, España"
Francisco J. García-Peñalvo,Nikolas Galanis,POINT (-5.6640182 40.9651572),POINT (-5.6640182 40.9651572),"elearning,ple,cloud computing,software as a service,vle,google docs,interoperability,lms",Universidad de Salamanca,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"Salamanca, Castilla y León, España","Salamanca, Castilla y León, España"
Francisco J. García-Peñalvo,Anton Joha,POINT (-5.6640182 40.9651572),POINT (-0.1277653 51.5074456),"software as a service,cloud computing",Universidad de Salamanca,EquaTerra,"Salamanca, Castilla y León, España","London, England, United Kingdom"
Francisco J. García-Peñalvo,Marijn Janssen,POINT (-5.6640182 40.9651572),POINT (4.362724538543995 51.999457199999995),"software as a service,cloud computing",Universidad de Salamanca,Delft University of Technology,"Salamanca, Castilla y León, España","Delft, Nederland"
Francisco J. García-Peñalvo,Marc Sabbagh,POINT (-5.6640182 40.9651572),POINT (2.2890454 48.9105948),"software as a service,cloud computing",Universidad de Salamanca,Universidad Carlos III de Madrid,"Salamanca, Castilla y León, España","Asnières-sur-Seine, 92600, Île-de-France, France"
Francisco J. García-Peñalvo,Miguel García Rodríguez,POINT (-5.6640182 40.9651572),POINT (-5.8483581 43.3618625),"interoperability,cloud computing",Universidad de Salamanca,University of Oviedo,"Salamanca, Castilla y León, España","Oviedo / Uviéu, Principado de Asturias, España"
Francisco J. García-Peñalvo,Jose María Alvarez Rodríguez,POINT (-5.6640182 40.9651572),POINT (-5.8483581 43.3618625),"interoperability,cloud computing",Universidad de Salamanca,University of Oviedo,"Salamanca, Castilla y León, España","Oviedo / Uviéu, Principado de Asturias, España"
Francisco J. García-Peñalvo,Diego Berrueta Muñoz,POINT (-5.6640182 40.9651572),POINT (-5.66275 43.5449422),"interoperability,cloud computing",Universidad de Salamanca,Fundacion CTIC,"Salamanca, Castilla y León, España","Gijón / Xixón, Principado de Asturias, España"
Francisco J. García-Peñalvo,Luis Polo Paredes,POINT (-5.6640182 40.9651572),POINT (-5.66275 43.5449422),"interoperability,cloud computing",Universidad de Salamanca,Fundacion CTIC,"Salamanca, Castilla y León, España","Gijón / Xixón, Principado de Asturias, España"
Francisco J. García-Peñalvo,Jose Emilio Labra Gayo,POINT (-5.6640182 40.9651572),POINT (-5.8483581 43.3618625),"interoperability,cloud computing",Universidad de Salamanca,University of Oviedo,"Salamanca, Castilla y León, España","Oviedo / Uviéu, Principado de Asturias, España"
Francisco J. García-Peñalvo,Thijs Baars,POINT (-5.6640182 40.9651572),POINT (5.1215634 52.0907006),cloud computing,Universidad de Salamanca,Utrecht University,"Salamanca, Castilla y León, España","Utrecht, Utrecht, Nederland"
Francisco J. García-Peñalvo,Marco Spruit,POINT (-5.6640182 40.9651572),POINT (5.1215634 52.0907006),cloud computing,Universidad de Salamanca,Utrecht University,"Salamanca, Castilla y León, España","Utrecht, Utrecht, Nederland"
Francisco J. García-Peñalvo,David Griol,POINT (-5.6640182 40.9651572),POINT (-3.76527 40.3281942),e-learning,Universidad de Salamanca,Carlos III University of Madrid,"Salamanca, Castilla y León, España","Leganés, Comunidad de Madrid, España"
Francisco J. García-Peñalvo,José Manuel Molina,POINT (-5.6640182 40.9651572),POINT (-3.76527 40.3281942),e-learning,Universidad de Salamanca,Carlos III University of Madrid,"Salamanca, Castilla y León, España","Leganés, Comunidad de Madrid, España"
Francisco J. García-Peñalvo,Araceli Sanchis de Miguel,POINT (-5.6640182 40.9651572),POINT (-3.76527 40.3281942),e-learning,Universidad de Salamanca,Carlos III University of Madrid,"Salamanca, Castilla y León, España","Leganés, Comunidad de Madrid, España"
Francisco J. García-Peñalvo,Zoraida Callejas,POINT (-5.6640182 40.9651572),POINT (-3.5995337 37.1734995),e-learning,Universidad de Salamanca,University of Granada,"Salamanca, Castilla y León, España","Granada, Andalucía, España"
Francisco J. García-Peñalvo,Alok Mishra,POINT (-5.6640182 40.9651572),POINT (32.8540497 39.9207759),global software development,Universidad de Salamanca,Atilim University Incek,"Salamanca, Castilla y León, España","Ankara, 06420, Çankaya, Ankara, Türkiye"
Francisco J. García-Peñalvo,Deepti Mishra,POINT (-5.6640182 40.9651572),POINT (32.8540497 39.9207759),global software development,Universidad de Salamanca,Atilim University Incek,"Salamanca, Castilla y León, España","Ankara, 06420, Çankaya, Ankara, Türkiye"
Francisco J. García-Peñalvo,Pedro Soto-Acosta,POINT (-5.6640182 40.9651572),POINT (-1.1305431 37.9923795),"focus group,global software development,release planning,product manager,delphi study",Universidad de Salamanca,Universidad de Murcia,"Salamanca, Castilla y León, España","Murcia, Región de Murcia, España"
Francisco J. García-Peñalvo,Ángel García-Crespo,POINT (-5.6640182 40.9651572),POINT (-3.76527 40.3281942),"focus group,global software development,release planning,product manager,delphi study",Universidad de Salamanca,Universidad Carlos III de Madrid,"Salamanca, Castilla y León, España","Leganés, Comunidad de Madrid, España"
Ricardo Colomo-Palacios,Marc Alier,POINT (-3.76527 40.3281942),POINT (2.1774322 41.3828939),software as a service,Universidad Carlos III de Madrid,Universitat Politècnica de Catalunya - Barcelona Tech,"Leganés, Comunidad de Madrid, España","Barcelona, 08001, Catalunya, España"
Ricardo Colomo-Palacios,Enric Mayol,POINT (-3.76527 40.3281942),POINT (2.1774322 41.3828939),"software as a service,cloud computing",Universidad Carlos III de Madrid,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"Leganés, Comunidad de Madrid, España","Barcelona, 08001, Catalunya, España"
Ricardo Colomo-Palacios,Maria Jose Casañ,POINT (-3.76527 40.3281942),POINT (2.1774322 41.3828939),software as a service,Universidad Carlos III de Madrid,Universitat Politècnica de Catalunya - Barcelona Tech,"Leganés, Comunidad de Madrid, España","Barcelona, 08001, Catalunya, España"
Ricardo Colomo-Palacios,Jordi Piguillem,POINT (-3.76527 40.3281942),POINT (2.1774322 41.3828939),"software as a service,cloud computing",Universidad Carlos III de Madrid,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"Leganés, Comunidad de Madrid, España","Barcelona, 08001, Catalunya, España"
Ricardo Colomo-Palacios,Jeffrey W. Merriman,POINT (-3.76527 40.3281942),POINT (0.1186637 52.2055314),software as a service,Universidad Carlos III de Madrid,Massachusetts Institute of Technology,"Leganés, Comunidad de Madrid, España","Cambridge, England, United Kingdom"
Ricardo Colomo-Palacios,Miguel Ángel Conde,POINT (-3.76527 40.3281942),POINT (-5.6640182 40.9651572),software as a service,Universidad Carlos III de Madrid,University of Salamanca,"Leganés, Comunidad de Madrid, España","Salamanca, Castilla y León, España"
Ricardo Colomo-Palacios,Wouter Tebben,POINT (-3.76527 40.3281942),POINT (4.8924534 52.3730796),software as a service,Universidad Carlos III de Madrid,Free Knowledge Institute,"Leganés, Comunidad de Madrid, España","Amsterdam, Noord-Holland, Nederland"
Ricardo Colomo-Palacios,Eduardo Fernández-Medina,POINT (-3.76527 40.3281942),POINT (-3.9285138 38.9854201),cloud computing,Universidad Carlos III de Madrid,University of Castilla-La Mancha,"Leganés, Comunidad de Madrid, España","Ciudad Real, Castilla-La Mancha, España"
Ricardo Colomo-Palacios,Oscar Rebollo,POINT (-3.76527 40.3281942),POINT (-3.7035825 40.4167047),cloud computing,Universidad Carlos III de Madrid,Ministry of Labour and Immigration,"Leganés, Comunidad de Madrid, España","Madrid, Comunidad de Madrid, España"
Ricardo Colomo-Palacios,Daniel Mellado,POINT (-3.76527 40.3281942),POINT (-3.7035825 40.4167047),cloud computing,Universidad Carlos III de Madrid,Rey Juan Carlos University,"Leganés, Comunidad de Madrid, España","Madrid, Comunidad de Madrid, España"
Ricardo Colomo-Palacios,Marc Alier Forment,POINT (-3.76527 40.3281942),POINT (2.1774322 41.3828939),"software as a service,cloud computing",Universidad Carlos III de Madrid,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"Leganés, Comunidad de Madrid, España","Barcelona, 08001, Catalunya, España"
Ricardo Colomo-Palacios,Patricia Ordóñez de Pablos,POINT (-3.76527 40.3281942),POINT (-5.8483581 43.3618625),cloud computing,Universidad Carlos III de Madrid,University of Oviedo,"Leganés, Comunidad de Madrid, España","Oviedo / Uviéu, Principado de Asturias, España"
Ricardo Colomo-Palacios,María José Casany,POINT (-3.76527 40.3281942),POINT (2.1774322 41.3828939),"software as a service,cloud computing",Universidad Carlos III de Madrid,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"Leganés, Comunidad de Madrid, España","Barcelona, 08001, Catalunya, España"
Ricardo Colomo-Palacios,Nikolas Galanis,POINT (-3.76527 40.3281942),POINT (-5.6640182 40.9651572),"software as a service,cloud computing",Universidad Carlos III de Madrid,UPC Universitat Politècnica de Catalunya Barcelona-Tech,"Leganés, Comunidad de Madrid, España","Salamanca, Castilla y León, España"
Ricardo Colomo-Palacios,Anton Joha,POINT (-3.76527 40.3281942),POINT (-0.1277653 51.5074456),"software as a service,cloud computing",Universidad Carlos III de Madrid,EquaTerra,"Leganés, Comunidad de Madrid, España","London, England, United Kingdom"
Ricardo Colomo-Palacios,Marijn Janssen,POINT (-3.76527 40.3281942),POINT (4.362724538543995 51.999457199999995),"software as a service,cloud computing",Universidad Carlos III de Madrid,Delft University of Technology,"Leganés, Comunidad de Madrid, España","Delft, Nederland"
Ricardo Colomo-Palacios,Marc Sabbagh,POINT (-3.76527 40.3281942),POINT (2.2890454 48.9105948),"software vendors,information systems development,software as a service,cloud computing",Universidad Carlos III de Madrid,Universidad Carlos III de Madrid,"Leganés, Comunidad de Madrid, España","Asnières-sur-Seine, 92600, Île-de-France, France"
Ricardo Colomo-Palacios,Miguel García Rodríguez,POINT (-3.76527 40.3281942),POINT (-5.8483581 43.3618625),cloud computing,Universidad Carlos III de Madrid,University of Oviedo,"Leganés, Comunidad de Madrid, España","Oviedo / Uviéu, Principado de Asturias, España"
Ricardo Colomo-Palacios,Jose María Alvarez Rodríguez,POINT (-3.76527 40.3281942),POINT (-5.8483581 43.3618625),cloud computing,Universidad Carlos III de Madrid,University of Oviedo,"Leganés, Comunidad de Madrid, España","Oviedo / Uviéu, Principado de Asturias, España"
Ricardo Colomo-Palacios,Diego Berrueta Muñoz,POINT (-3.76527 40.3281942),POINT (-5.66275 43.5449422),cloud computing,Universidad Carlos III de Madrid,Fundacion CTIC,"Leganés, Comunidad de Madrid, España","Gijón / Xixón, Principado de Asturias, España"
Ricardo Colomo-Palacios,Luis Polo Paredes,POINT (-3.76527 40.3281942),POINT (-5.66275 43.5449422),cloud computing,Universidad Carlos III de Madrid,Fundacion CTIC,"Leganés, Comunidad de Madrid, España","Gijón / Xixón, Principado de Asturias, España"
Ricardo Colomo-Palacios,Jose Emilio Labra Gayo,POINT (-3.76527 40.3281942),POINT (-5.8483581 43.3618625),cloud computing,Universidad Carlos III de Madrid,University of Oviedo,"Leganés, Comunidad de Madrid, España","Oviedo / Uviéu, Principado de Asturias, España"
Ricardo Colomo-Palacios,Thijs Baars,POINT (-3.76527 40.3281942),POINT (5.1215634 52.0907006),cloud computing,Universidad Carlos III de Madrid,Utrecht University,"Leganés, Comunidad de Madrid, España","Utrecht, Utrecht, Nederland"
Ricardo Colomo-Palacios,Marco Spruit,POINT (-3.76527 40.3281942),POINT (5.1215634 52.0907006),cloud computing,Universidad Carlos III de Madrid,Utrecht University,"Leganés, Comunidad de Madrid, España","Utrecht, Utrecht, Nederland"
Ricardo Colomo-Palacios,Alok Mishra,POINT (-3.76527 40.3281942),POINT (32.8540497 39.9207759),global software development,Universidad Carlos III de Madrid,Atilim University Incek,"Leganés, Comunidad de Madrid, España","Ankara, 06420, Çankaya, Ankara, Türkiye"
Ricardo Colomo-Palacios,Deepti Mishra,POINT (-3.76527 40.3281942),POINT (32.8540497 39.9207759),global software development,Universidad Carlos III de Madrid,Atilim University Incek,"Leganés, Comunidad de Madrid, España","Ankara, 06420, Çankaya, Ankara, Türkiye"
Ricardo Colomo-Palacios,Pedro Soto-Acosta,POINT (-3.76527 40.3281942),POINT (-1.1305431 37.9923795),"focus group,global software development,release planning,product manager,delphi study",Universidad Carlos III de Madrid,Universidad de Murcia,"Leganés, Comunidad de Madrid, España","Murcia, Región de Murcia, España"
Ricardo Colomo-Palacios,Ángel García-Crespo,POINT (-3.76527 40.3281942),POINT (-3.76527 40.3281942),"focus group,global software development,release planning,product manager,delphi study",Universidad Carlos III de Madrid,Universidad Carlos III de Madrid,"Leganés, Comunidad de Madrid, España","Leganés, Comunidad de Madrid, España"
Valentina Gatteschi,Fabrizio Lamberti,POINT (7.6824892 45.0677551),POINT (7.6824892 45.0677551),"semantic engine,ontology,taxonomy,lifelong learning,qualifications",Politecnico di Torino,Politecnico di Torino,"Torino, Piemonte, Italia","Torino, Piemonte, Italia"
Valentina Gatteschi,Claudio Demartini,POINT (7.6824892 45.0677551),POINT (7.6824892 45.0677551),"semantic engine,ontology,taxonomy,lifelong learning,qualifications",Politecnico di Torino,Politecnico di Torino,"Torino, Piemonte, Italia","Torino, Piemonte, Italia"
Valentina Gatteschi,Rob van Wezel,POINT (7.6824892 45.0677551),POINT (-2.671522203148835 54.605648099999996),"semantic engine,ontology,taxonomy,lifelong learning,qualifications",Politecnico di Torino,KCH International,"Torino, Piemonte, Italia","Eden, United Kingdom"
Valentina Gatteschi,Simonetta Bettiol,POINT (7.6824892 45.0677551),POINT (12.3345898 45.4371908),"semantic engine,ontology,taxonomy,lifelong learning,qualifications",Politecnico di Torino,Ufficio Scolastico Regionale per il Veneto,"Torino, Piemonte, Italia","Venezia, 30121-30176, Veneto, Italia"
Valentina Gatteschi,Ajith Abraham,POINT (7.6824892 45.0677551),POINT (-1.57027 55.1832364),ontology,Politecnico di Torino,Machine Intelligence Research Labs (MIR Labs),"Torino, Piemonte, Italia","Ashington, England, United Kingdom"
Fabrizio Lamberti,Claudio Demartini,POINT (7.6824892 45.0677551),POINT (7.6824892 45.0677551),"semantic engine,ontology,taxonomy,lifelong learning,qualifications",Politecnico di Torino,Politecnico di Torino,"Torino, Piemonte, Italia","Torino, Piemonte, Italia"
Fabrizio Lamberti,Rob van Wezel,POINT (7.6824892 45.0677551),POINT (-2.671522203148835 54.605648099999996),"semantic engine,ontology,taxonomy,lifelong learning,qualifications",Politecnico di Torino,KCH International,"Torino, Piemonte, Italia","Eden, United Kingdom"
Fabrizio Lamberti,Simonetta Bettiol,POINT (7.6824892 45.0677551),POINT (12.3345898 45.4371908),"semantic engine,ontology,taxonomy,lifelong learning,qualifications",Politecnico di Torino,Ufficio Scolastico Regionale per il Veneto,"Torino, Piemonte, Italia","Venezia, 30121-30176, Veneto, Italia"
Fabrizio Lamberti,Ajith Abraham,POINT (7.6824892 45.0677551),POINT (-1.57027 55.1832364),ontology,Politecnico di Torino,Machine Intelligence Research Labs (MIR Labs),"Torino, Piemonte, Italia","Ashington, England, United Kingdom"
Claudio Demartini,Rob van Wezel,POINT (7.6824892 45.0677551),POINT (-2.671522203148835 54.605648099999996),"semantic engine,ontology,taxonomy,lifelong learning,qualifications",Politecnico di Torino,KCH International,"Torino, Piemonte, Italia","Eden, United Kingdom"
Claudio Demartini,Simonetta Bettiol,POINT (7.6824892 45.0677551),POINT (12.3345898 45.4371908),"semantic engine,ontology,taxonomy,lifelong learning,qualifications",Politecnico di Torino,Ufficio Scolastico Regionale per il Veneto,"Torino, Piemonte, Italia","Venezia, 30121-30176, Veneto, Italia"
Claudio Demartini,Ajith Abraham,POINT (7.6824892 45.0677551),POINT (-1.57027 55.1832364),ontology,Politecnico di Torino,Machine Intelligence Research Labs (MIR Labs),"Torino, Piemonte, Italia","Ashington, England, United Kingdom"
Rob van Wezel,Simonetta Bettiol,POINT (-2.671522203148835 54.605648099999996),POINT (12.3345898 45.4371908),"semantic engine,ontology,taxonomy,lifelong learning,qualifications",KCH International,Ufficio Scolastico Regionale per il Veneto,"Eden, United Kingdom","Venezia, 30121-30176, Veneto, Italia"
Rob van Wezel,Ajith Abraham,POINT (-2.671522203148835 54.605648099999996),POINT (-1.57027 55.1832364),ontology,KCH International,Machine Intelligence Research Labs (MIR Labs),"Eden, United Kingdom","Ashington, England, United Kingdom"
Simonetta Bettiol,Ajith Abraham,POINT (12.3345898 45.4371908),POINT (-1.57027 55.1832364),ontology,Ufficio Scolastico Regionale per il Veneto,Machine Intelligence Research Labs (MIR Labs),"Venezia, 30121-30176, Veneto, Italia","Ashington, England, United Kingdom"
Santi Caballe,David Ganan,POINT (2.1774322 41.3828939),POINT (2.1774322 41.3828939),"collaborative complex learning objects,collaborative learning,virtualized collaborative sessions,on-line discussions",Open University of Catalonia,Open University of Catalonia,"Barcelona, 08001, Catalunya, España","Barcelona, 08001, Catalunya, España"
Santi Caballe,Ian Dunwell,POINT (2.1774322 41.3828939),POINT (-1.510477 52.4081812),"collaborative complex learning objects,collaborative learning,virtualized collaborative sessions,on-line discussions",Open University of Catalonia,Coventry University,"Barcelona, 08001, Catalunya, España","Coventry, England, United Kingdom"
Santi Caballe,Anna Pierri,POINT (2.1774322 41.3828939),POINT (14.7699874 40.7469385),"collaborative complex learning objects,collaborative learning,virtualized collaborative sessions,on-line discussions",Open University of Catalonia,"Modelli Matematici e Applicazioni (MoMA, SpA)","Barcelona, 08001, Catalunya, España","Baronissi, 84081, Campania, Italia"
Santi Caballe,Thanasis Daradoumis,POINT (2.1774322 41.3828939),POINT (26.554788 39.1037355),"collaborative complex learning objects,collaborative learning,virtualized collaborative sessions,on-line discussions",Open University of Catalonia,University of the Aegean,"Barcelona, 08001, Catalunya, España","Μυτιλήνη, 81100, Δημοτική Ενότητα Μυτιλήνης, Αποκεντρωμένη Διοίκηση Αιγαίου, Ελλάς"
David Ganan,Ian Dunwell,POINT (2.1774322 41.3828939),POINT (-1.510477 52.4081812),"collaborative complex learning objects,collaborative learning,virtualized collaborative sessions,on-line discussions",Open University of Catalonia,Coventry University,"Barcelona, 08001, Catalunya, España","Coventry, England, United Kingdom"
David Ganan,Anna Pierri,POINT (2.1774322 41.3828939),POINT (14.7699874 40.7469385),"collaborative complex learning objects,collaborative learning,virtualized collaborative sessions,on-line discussions",Open University of Catalonia,"Modelli Matematici e Applicazioni (MoMA, SpA)","Barcelona, 08001, Catalunya, España","Baronissi, 84081, Campania, Italia"
David Ganan,Thanasis Daradoumis,POINT (2.1774322 41.3828939),POINT (26.554788 39.1037355),"collaborative complex learning objects,collaborative learning,virtualized collaborative sessions,on-line discussions",Open University of Catalonia,University of the Aegean,"Barcelona, 08001, Catalunya, España","Μυτιλήνη, 81100, Δημοτική Ενότητα Μυτιλήνης, Αποκεντρωμένη Διοίκηση Αιγαίου, Ελλάς"
Ian Dunwell,Anna Pierri,POINT (-1.510477 52.4081812),POINT (14.7699874 40.7469385),"collaborative complex learning objects,collaborative learning,virtualized collaborative sessions,on-line discussions",Coventry University,"Modelli Matematici e Applicazioni (MoMA, SpA)","Coventry, England, United Kingdom","Baronissi, 84081, Campania, Italia"
Ian Dunwell,Thanasis Daradoumis,POINT (-1.510477 52.4081812),POINT (26.554788 39.1037355),"collaborative complex learning objects,collaborative learning,virtualized collaborative sessions,on-line discussions",Coventry University,University of the Aegean,"Coventry, England, United Kingdom","Μυτιλήνη, 81100, Δημοτική Ενότητα Μυτιλήνης, Αποκεντρωμένη Διοίκηση Αιγαίου, Ελλάς"
Anna Pierri,Thanasis Daradoumis,POINT (14.7699874 40.7469385),POINT (26.554788 39.1037355),"collaborative complex learning objects,collaborative learning,virtualized collaborative sessions,on-line discussions","Modelli Matematici e Applicazioni (MoMA, SpA)",University of the Aegean,"Baronissi, 84081, Campania, Italia","Μυτιλήνη, 81100, Δημοτική Ενότητα Μυτιλήνης, Αποκεντρωμένη Διοίκηση Αιγαίου, Ελλάς"
Peter B. Sloep,Adriana J. Berlanga,POINT (5.981506585454879 50.8775239),POINT (5.981506585454879 50.8775239),"fp7,handover,learning network,innovation,idspace,ltfll,networked learning,language technologies",Open Universiteit Nederland,Open Universiteit Nederland,"Heerlen, Limburg, Nederland","Heerlen, Limburg, Nederland"
Peter B. Sloep,Wolfgang Greller,POINT (5.981506585454879 50.8775239),POINT (5.981506585454879 50.8775239),"fp7,handover,learning network,innovation,idspace,ltfll,networked learning,language technologies",Open Universiteit Nederland,Open Universiteit Nederland,"Heerlen, Limburg, Nederland","Heerlen, Limburg, Nederland"
