Author,City,Institution,Keywords,coordinates
Wolfgang Greller,Heerlen,Open Universiteit Nederland,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']",POINT (5.981506585454879 50.8775239)
Slavi Stoyanov,Heerlen,Open Universiteit Nederland,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']",POINT (5.981506585454879 50.8775239)
Marcel van der Klink,Heerlen,Open Universiteit Nederland,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']",POINT (5.981506585454879 50.8775239)
Symeon Retalis,Piraeus,University of Piraeus,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']",POINT (23.6470593 37.9431594)
Jan Hensgens,Maastricht,Aurus KTS,"['networked learning', 'learning network', 'FP7', 'innovation', 'language technologies', 'idSpace', 'LTfLL', 'Handover']",POINT (5.6909768 50.8512438)
Jesus G. Boticario,Madrid,aDeNu Research Group,"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']",POINT (-3.7035825 40.4167047)
Alejandro Rodriguez-Ascaso,Madrid,aDeNu Research Group,"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']",POINT (-3.7035825 40.4167047)
Olga C. Santos,Madrid,aDeNu Research Group,"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']",POINT (-3.7035825 40.4167047)
Emmanuelle Raffenne,Madrid,Madrid,"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']",POINT (-3.7035825 40.4167047)
Lydia Montandon,Madrid,Atos GIBS (Global Innovation and Business Strategy),"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']",POINT (-3.7035825 40.4167047)
David Roldán,Madrid,Universidad Politécnica de Valencia,"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']",POINT (-3.7035825 40.4167047)
Félix Buendía,Madrid,Universidad Politécnica de Valencia,"['educational standards', 'adaptive learning', 'user modelling', 'service oriented architecture', 'web accessibility', 'learning objects', 'metadata and learning', 'user-centred design']",POINT (-3.7035825 40.4167047)
Benjamim Fonseca,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935)
Leonel Morgado,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935)
Hugo Paredes,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935)
Paulo Martins,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935)
Ramiro Gonçalves,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935)
Pedro Neves,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935)
Ricardo Rodrigues Nunes,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935)
Jorge Lima,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935)
João Varajão,Vila Real,University of Trás-os-Montes e Alto Douro,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.7457614 41.2976935)
Ângela Pereira,Leiria,Instituto Politécnico de Leiria,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-8.8071119 39.7437902)
Robert Sanders,Brussels,EBN - European BIC Network,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-90.5887314 38.9494939)
Vera Barracho,Brussels,EBN - European BIC Network,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-90.5887314 38.9494939)
Urban Lapajne,Maribor,University of Maribor,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (15.6455854 46.5576439)
Matej Rus,Maribor,University of Maribor,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (15.6455854 46.5576439)
Martin Rahe,Barcelona,EADA - Escuela de Alta Dirección y Administración,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (2.1774322 41.3828939)
Andre Mostert,London,University of East London,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-0.1277653 51.5074456)
Thorsten Klein,London,University of East London,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-0.1277653 51.5074456)
Viktorija Bojovic,Novi Sad,University of Novi Sad,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (19.8451756 45.2551338)
Saša Bošnjak,Novi Sad,University of Novi Sad,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (19.8451756 45.2551338)
Zita Bošnjak,Novi Sad,University of Novi Sad,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (19.8451756 45.2551338)
João Carvalho,Covilhã,CIEBI - Centro de Inovação Empresarial da Beira Interior,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.5043211 40.2805658)
Isabel Duarte,Covilhã,CIEBI - Centro de Inovação Empresarial da Beira Interior,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (-7.5043211 40.2805658)
Andreana Casaramona,Messina,Innova BIC - Business Innovation Centre,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (15.5542082 38.1937571)
Alberto Soraci,Messina,Innova BIC - Business Innovation Centre,"['computers in education', 'technology enhanced learning', 'entrepreneurship', 'entrepreneurship education', 'business education', 'serious games', 'Facebook', 'game based learning', 'EU project']",POINT (15.5542082 38.1937571)
Marc Alier,Barcelona,Universitat Politècnica de Catalunya - Barcelona Tech,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",POINT (2.1774322 41.3828939)
Enric Mayol,Barcelona,Universitat Politècnica de Catalunya - Barcelona Tech,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",POINT (2.1774322 41.3828939)
Maria Jose Casañ,Barcelona,Universitat Politècnica de Catalunya - Barcelona Tech,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",POINT (2.1774322 41.3828939)
Jordi Piguillem,Barcelona,Universitat Politècnica de Catalunya - Barcelona Tech,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",POINT (2.1774322 41.3828939)
Jeffrey W. Merriman,Cambridge,Massachusetts Institute of Technology,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",POINT (0.1186637 52.2055314)
Miguel Ángel Conde,Salamanca,University of Salamanca,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",POINT (-5.6640182 40.9651572)
Francisco J. García-Peñalvo,Salamanca,University of Salamanca,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",POINT (-5.6640182 40.9651572)
Wouter Tebben,Amsterdam,Free Knowledge Institute,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",POINT (4.8924534 52.3730796)
Charles Severance,Ann Arbor,University of Michigan,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",POINT (-83.7484616 42.2813722)
Edmundo Tovar,Madrid,Universidad Politecnica de Madrid,"['OCW', 'OpenCourseWare', 'OER', 'open educational resources', 'semantic web', 'linked data', 'social networks analysis', 'SNA']",POINT (-3.7035825 40.4167047)
Nelson Piedra,Loja,Universidad Tecnica Particular de Loja,"['OCW', 'OpenCourseWare', 'OER', 'open educational resources', 'semantic web', 'linked data', 'social networks analysis', 'SNA']",POINT (-79.8053425 -4.0528506)
Janneth Chicaiza,Loja,Universidad Tecnica Particular de Loja,"['OCW', 'OpenCourseWare', 'OER', 'open educational resources', 'semantic web', 'linked data', 'social networks analysis', 'SNA']",POINT (-79.8053425 -4.0528506)
Jorge Lopez,Loja,Universidad Tecnica Particular de Loja,"['OCW', 'OpenCourseWare', 'OER', 'open educational resources', 'semantic web', 'linked data', 'social networks analysis', 'SNA']",POINT (-79.8053425 -4.0528506)
Oscar Martinez-Bonastre,Elche,Miguel Hernandez University,"['OCW', 'OpenCourseWare', 'OER', 'open educational resources', 'semantic web', 'linked data', 'social networks analysis', 'SNA']",POINT (-0.6988391 38.2653307)
Christian Gütl,Graz,Graz University of Technology,[],POINT (15.4382786 47.0708678)
David Lizcano,Madrid,Universidad Politécnica de Madrid,"['end-user development', 'end-user software engineering', 'domain experts', 'domain-specific software development', 'ecologies of participation']",POINT (-3.7035825 40.4167047)
Fernando Alonso,Madrid,Universidad Politécnica de Madrid,"['end-user development', 'end-user software engineering', 'domain experts', 'domain-specific software development', 'ecologies of participation']",POINT (-3.7035825 40.4167047)
Javier Soriano,Madrid,Universidad Politécnica de Madrid,"['end-user development', 'end-user software engineering', 'domain experts', 'domain-specific software development', 'ecologies of participation']",POINT (-3.7035825 40.4167047)
Genoveva López,Madrid,Universidad Politécnica de Madrid,"['end-user development', 'end-user software engineering', 'domain experts', 'domain-specific software development', 'ecologies of participation']",POINT (-3.7035825 40.4167047)
Nadeem Mahmood,Karachi,University of Karachi,"['temporal and fuzzy ontological framework', 'knowledge management systems', 'healthcare systems', 'patient information system', 'temporal and fuzzy database system']",POINT (67.2034654 25.0726735)
S. M. Aqil Burney,Karachi,University of Karachi,"['temporal and fuzzy ontological framework', 'knowledge management systems', 'healthcare systems', 'patient information system', 'temporal and fuzzy database system']",POINT (67.2034654 25.0726735)
Kamran Ahsan,Stafford,Staffordshire University,"['temporal and fuzzy ontological framework', 'knowledge management systems', 'healthcare systems', 'patient information system', 'temporal and fuzzy database system']",POINT (-2.1163818 52.8063157)
Jorge Martinez-Gil,Málaga,University of Málaga,"['ontology matching', 'knowledge integration', 'software tools']",POINT (-4.4216366 36.7213028)
Ismael Navas-Delgado,Málaga,University of Málaga,"['ontology matching', 'knowledge integration', 'software tools']",POINT (-4.4216366 36.7213028)
Jose F. Aldana-Montes,Málaga,University of Málaga,"['ontology matching', 'knowledge integration', 'software tools']",POINT (-4.4216366 36.7213028)
Goran Martinovic,Osijek,Josip Juraj Strossmayer University of Osijek,"['benchmark', 'operating system', 'performance evaluation', 'performance measurement', 'Windows 7', 'Windows Vista', 'Windows XP']",POINT (18.6953685 45.5548793)
Josip Balen,Osijek,Josip Juraj Strossmayer University of Osijek,"['benchmark', 'operating system', 'performance evaluation', 'performance measurement', 'Windows 7', 'Windows Vista', 'Windows XP']",POINT (18.6953685 45.5548793)
Bojan Cukic,Morgantown,West Virginia University,"['benchmark', 'operating system', 'performance evaluation', 'performance measurement', 'Windows 7', 'Windows Vista', 'Windows XP']",POINT (-79.9559437 39.6296809)
Joaquin Olivares,Cordoba,University of Cordoba,"['video', 'high-speed arithmetics', 'parallel architectures', 'special-purpose and application-based systems']",POINT (-4.7760138 37.8845813)
Guillermo Vega-Gorgojo,Valladolid,University of Valladolid,"['C.2.4', 'H.3.3', 'K.3.1']",POINT (-4.728562 41.6521328)
Eduardo Gómez-Sánchez,Valladolid,University of Valladolid,"['C.2.4', 'H.3.3', 'K.3.1']",POINT (-4.728562 41.6521328)
Miguel L. Bote-Lorenzo,Valladolid,University of Valladolid,"['C.2.4', 'H.3.3', 'K.3.1']",POINT (-4.728562 41.6521328)
Lorenzo Cantoni,Lugano,Università della Svizzera italiana,[],POINT (8.9520281 46.0050102)
Isabella Rega,Lugano,Università della Svizzera italiana,[],POINT (8.9520281 46.0050102)
Stefan Minder,Bern,University of Bern,"['text-to-speech', 'TTS', 'e-learning', 'modality effect', 'split attention']",POINT (7.4521749 46.9484742)
Michele Notari,Bern,University of Bern,"['text-to-speech', 'TTS', 'e-learning', 'modality effect', 'split attention']",POINT (7.4521749 46.9484742)
Felix Schmitz,Bern,University of Bern,"['text-to-speech', 'TTS', 'e-learning', 'modality effect', 'split attention']",POINT (7.4521749 46.9484742)
Rainer Hofer,Bern,University of Bern,"['text-to-speech', 'TTS', 'e-learning', 'modality effect', 'split attention']",POINT (7.4521749 46.9484742)
Ulrich Woermann,Bern,University of Bern,"['text-to-speech', 'TTS', 'e-learning', 'modality effect', 'split attention']",POINT (7.4521749 46.9484742)
Mike Tissenbaum,Toronto,Ontario Institute for Studies in Education,"['future classrooms', 'science education']",POINT (-79.3839347 43.6534817)
Michelle Lui,Toronto,Ontario Institute for Studies in Education,"['future classrooms', 'science education']",POINT (-79.3839347 43.6534817)
James D. Slotta,Toronto,Ontario Institute for Studies in Education,"['future classrooms', 'science education']",POINT (-79.3839347 43.6534817)
Luca Botturi,Locarno,University of Applied Sciences of Southern Switzerland,"['gender', 'digital divide', 'college', 'Switzerland']",POINT (8.7954217 46.1695112)
Chiara Bramani,Lugano,University of Lugano,"['gender', 'digital divide', 'college', 'Switzerland']",POINT (8.9520281 46.0050102)
Sean McCusker,Durham,Durham University,"['gender', 'digital divide', 'college', 'Switzerland']",POINT (-1.5756205 54.7770139)
Paolo Ferri,Milan,University of Milan,"['social networks', 'Web 2.0', 'digital natives', 'personal learning environments']",POINT (9.1896346 45.4641943)
Andrea Pozzali,Rome,University of Milan,"['social networks', 'Web 2.0', 'digital natives', 'personal learning environments']",POINT (-85.1646726 34.257038)
Jue Wang,Genève,University of Geneva,"['foreign language teaching and learning', 'tandem language learning', 'telecollaboration', 'intercultural competence', 'peer-to-peer correction', 'tutoring', 'design-based research']",POINT (6.1466014 46.2017559)
Claudia Berger,Genève,University of Geneva,"['foreign language teaching and learning', 'tandem language learning', 'telecollaboration', 'intercultural competence', 'peer-to-peer correction', 'tutoring', 'design-based research']",POINT (6.1466014 46.2017559)
Nicolas Szilas,Genève,University of Geneva,"['foreign language teaching and learning', 'tandem language learning', 'telecollaboration', 'intercultural competence', 'peer-to-peer correction', 'tutoring', 'design-based research']",POINT (6.1466014 46.2017559)
Isabella Rega,Lugano,Università della Svizzera italiana,"['ICT', 'teacher training', 'self-efficacy', 'quantitative methods', 'qualitative methods', 'disadvantaged contexts', 'ICT4E']",POINT (8.9520281 46.0050102)
Francesca Fanni,Lugano,Università della Svizzera italiana,"['ICT', 'teacher training', 'self-efficacy', 'quantitative methods', 'qualitative methods', 'disadvantaged contexts', 'ICT4E']",POINT (8.9520281 46.0050102)
Izak van Zyl,Lugano,Università della svizzera italiana,"['home-based healthcare', 'informal learning', 'digital technologies', 'socio-cultural dynamics']",POINT (8.9520281 46.0050102)
Retha de la Harpe,Cape Town,Cape Peninsula University of Technology,"['home-based healthcare', 'informal learning', 'digital technologies', 'socio-cultural dynamics']",POINT (18.417396 -33.928992)
Jason J. Jung,Gyeongsan,Yeungnam University,[],POINT (128.741329 35.825122)
Przemysław Kazienko,Wrocław,Wrocław University of Technology,[],POINT (17.0326689 51.1089776)
Qinna Wang,Lyon,Université de Lyon,"['fuzzy community detection', 'overlapping community detection', 'community detection', 'modularity', 'large-scale networks']",POINT (4.8320114 45.7578137)
Eric Fleury,Lyon,Université de Lyon,"['fuzzy community detection', 'overlapping community detection', 'community detection', 'modularity', 'large-scale networks']",POINT (4.8320114 45.7578137)
John Boaz Lee,Quezon City,University of the Philippines,"['social voter', 'social network analysis', 'logistic regression', 'social influence', 'election analysis']",POINT (121.0486254 14.6510546)
Gerard Cabunducan,Quezon City,University of the Philippines,"['social voter', 'social network analysis', 'logistic regression', 'social influence', 'election analysis']",POINT (121.0486254 14.6510546)
Francis George C. Cabarle,Quezon City,University of the Philippines,"['social voter', 'social network analysis', 'logistic regression', 'social influence', 'election analysis']",POINT (121.0486254 14.6510546)
Raphael Castillo,Quezon City,University of the Philippines,"['social voter', 'social network analysis', 'logistic regression', 'social influence', 'election analysis']",POINT (121.0486254 14.6510546)
Jasmine A. Malinao,Quezon City,University of the Philippines,"['social voter', 'social network analysis', 'logistic regression', 'social influence', 'election analysis']",POINT (121.0486254 14.6510546)
Onur C. Sert,Ankara,TOBB Economics and Technology University,"['multi-objective clustering', 'NSGA-II', 'h-confidence']",POINT (32.8540497 39.9207759)
Kayhan Dursun,Ankara,TOBB Economics and Technology University,"['multi-objective clustering', 'NSGA-II', 'h-confidence']",POINT (32.8540497 39.9207759)
Tansel Özyer,Ankara,TOBB Economics and Technology University,"['multi-objective clustering', 'NSGA-II', 'h-confidence']",POINT (32.8540497 39.9207759)
Jamal Jida,Tripoli,Lebanese University,"['multi-objective clustering', 'NSGA-II', 'h-confidence']",POINT (13.1777923 32.896672)
Reda Alhajj,Calgary,University of Calgary,"['multi-objective clustering', 'NSGA-II', 'h-confidence']",POINT (-114.057541 51.0456064)
Joo Young Lee,Syracuse,Syracuse University,"['social network', 'reputation management', 'community analysis', 'computer security']",POINT (-76.1474244 43.0481221)
Yue Duan,Syracuse,Syracuse University,"['social network', 'reputation management', 'community analysis', 'computer security']",POINT (-76.1474244 43.0481221)
Jae C. Oh,Syracuse,Syracuse University,"['social network', 'reputation management', 'community analysis', 'computer security']",POINT (-76.1474244 43.0481221)
Wenliang Du,Syracuse,Syracuse University,"['social network', 'reputation management', 'community analysis', 'computer security']",POINT (-76.1474244 43.0481221)
Howard Blair,Syracuse,Syracuse University,"['social network', 'reputation management', 'community analysis', 'computer security']",POINT (-76.1474244 43.0481221)
Lusha Wang,Syracuse,Syracuse University,"['social network', 'reputation management', 'community analysis', 'computer security']",POINT (-76.1474244 43.0481221)
Xing Jin,Syracuse,Syracuse University,"['social network', 'reputation management', 'community analysis', 'computer security']",POINT (-76.1474244 43.0481221)
I-Hsing Ting,Kaohsiung,National University of Kaohsiung,"['social networks analysis', 'social recommendation system', 'microblogs', 'target marketing']",POINT (120.3120375 22.6203348)
Pei Shan Chang,Kaohsiung,National University of Kaohsiung,"['social networks analysis', 'social recommendation system', 'microblogs', 'target marketing']",POINT (120.3120375 22.6203348)
Shyue-Liang Wang,Kaohsiung,National University of Kaohsiung,"['social networks analysis', 'social recommendation system', 'microblogs', 'target marketing']",POINT (120.3120375 22.6203348)
Anna Zygmunt,Kraków,AGH University of Science and Technology,"['social network', 'social network analysis', 'SNA', 'social community extraction', 'social group', 'persistent group', 'stable social group', 'key person', 'role identification', 'blogosphere', 'CPM', 'fast modularity optimization', 'node position']",POINT (19.9368564 50.0619474)
Piotr Bródka,Wrocław,Wrocław University of Technology,"['social network', 'social network analysis', 'SNA', 'social community extraction', 'social group', 'persistent group', 'stable social group', 'key person', 'role identification', 'blogosphere', 'CPM', 'fast modularity optimization', 'node position']",POINT (17.0326689 51.1089776)
Przemysław Kazienko,Wrocław,Wrocław University of Technology,"['social network', 'social network analysis', 'SNA', 'social community extraction', 'social group', 'persistent group', 'stable social group', 'key person', 'role identification', 'blogosphere', 'CPM', 'fast modularity optimization', 'node position']",POINT (17.0326689 51.1089776)
Jarosław Koźlak,Kraków,AGH University of Science and Technology,"['social network', 'social network analysis', 'SNA', 'social community extraction', 'social group', 'persistent group', 'stable social group', 'key person', 'role identification', 'blogosphere', 'CPM', 'fast modularity optimization', 'node position']",POINT (19.9368564 50.0619474)
Christian Gütl,Graz,Graz University of Technology,[],POINT (15.4382786 47.0708678)
Grzegorz Chmaj,Wrocław,Wrocław University of Technology,"['computing systems', 'P2P', 'unicast', 'anycast', 'networks', 'simulation']",POINT (17.0326689 51.1089776)
Krzysztof Walkowiak,Wrocław,Wrocław University of Technology,"['computing systems', 'P2P', 'unicast', 'anycast', 'networks', 'simulation']",POINT (17.0326689 51.1089776)
Ismael Hasan,Coruña,University of a Coruña,"['PDF', 'text preprocessing', 'text extraction', 'ordered text extraction', 'text mining', 'evaluation']",POINT (-8.3959425 43.3709703)
Javier Parapar,Coruña,University of a Coruña,"['PDF', 'text preprocessing', 'text extraction', 'ordered text extraction', 'text mining', 'evaluation']",POINT (-8.3959425 43.3709703)
Álvaro Barreiro,Coruña,University of a Coruña,"['PDF', 'text preprocessing', 'text extraction', 'ordered text extraction', 'text mining', 'evaluation']",POINT (-8.3959425 43.3709703)
Jong Wook Kim,El Segundo,Teradata Corporation,"['Wikipedia', 'concept', 'semantic interpretation']",POINT (-118.4156337 33.917028)
Ashwin Kashyap,Palo Alto,Technicolor,"['Wikipedia', 'concept', 'semantic interpretation']",POINT (-122.1598465 37.4443293)
Sandilya Bhamidipati,Palo Alto,Technicolor,"['Wikipedia', 'concept', 'semantic interpretation']",POINT (-122.1598465 37.4443293)
Ahmed Nait-Sidi-Moh,Saint Quentin,Université de Picardie Jules Verne,"['web service access control', 'electronic exchanges', 'modeling', 'evaluation and simulation', 'dimensioning and improvement', 'Petri nets and (max', ' +)-algebra']",POINT (3.2876843 49.8465253)
Mohamed Bakhouya,Helsinki,Aalto University,"['web service access control', 'electronic exchanges', 'modeling', 'evaluation and simulation', 'dimensioning and improvement', 'Petri nets and (max', ' +)-algebra']",POINT (24.9427473 60.1674881)
Wafaa Ait-Cheik-Bihi,Strasbourg,Université de Strasbourg,"['web service access control', 'electronic exchanges', 'modeling', 'evaluation and simulation', 'dimensioning and improvement', 'Petri nets and (max', ' +)-algebra']",POINT (7.7507127 48.584614)
Jaafar Gaber,Belfort,Université de Technologie de Belfort Montbéliard,"['web service access control', 'electronic exchanges', 'modeling', 'evaluation and simulation', 'dimensioning and improvement', 'Petri nets and (max', ' +)-algebra']",POINT (6.8628942 47.6379599)
Mabel Vazquez-Briseno,Ensenada,UABC,"['mobile computing', 'mobile information systems', 'software', 'mobile devices', 'multimedia']",POINT (-116.602983 31.8658887)
Pierre Vincent,Lille,MobKit,"['mobile computing', 'mobile information systems', 'software', 'mobile devices', 'multimedia']",POINT (3.0635282 50.6365654)
Juan Ivan Nieto-Hipolito,Ensenada,UABC,"['mobile computing', 'mobile information systems', 'software', 'mobile devices', 'multimedia']",POINT (-116.602983 31.8658887)
Juan de Dios Sanchez-Lopez,Ensenada,UABC,"['mobile computing', 'mobile information systems', 'software', 'mobile devices', 'multimedia']",POINT (-116.602983 31.8658887)
David G. Rosado,Ciudad Real,University of Castilla-La Mancha,[],POINT (-3.9285138 38.9854201)
