Author,City,Keywords,coordinates
Enric Mayol,Barcelona,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",POINT (2.1774322 41.3828939)
Maria Jose Casañ,Barcelona,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",POINT (2.1774322 41.3828939)
Jordi Piguillem,Barcelona,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",POINT (2.1774322 41.3828939)
Jeffrey W. Merriman,Cambridge,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",POINT (0.1186637 52.2055314)
Miguel Ángel Conde,Salamanca,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",POINT (-5.6640182 40.9651572)
Francisco J. García-Peñalvo,Salamanca,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",POINT (-5.6640182 40.9651572)
Wouter Tebben,Amsterdam,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",POINT (4.8924534 52.3730796)
Charles Severance,Ann Arbor,"['E-Learning', 'interoperability', 'open standards', 'open source', 'free software', 'LMS', 'Sakai', 'Moodle', 'IMS LTI', 'OKI', 'SOA', 'software as a service']",POINT (-83.7484616 42.2813722)
Edmundo Tovar,Madrid,"['OCW', 'OpenCourseWare', 'OER', 'open educational resources', 'semantic web', 'linked data', 'social networks analysis', 'SNA']",POINT (-3.7035825 40.4167047)
Nelson Piedra,Loja,"['OCW', 'OpenCourseWare', 'OER', 'open educational resources', 'semantic web', 'linked data', 'social networks analysis', 'SNA']",POINT (-79.8053425 -4.0528506)
Janneth Chicaiza,Loja,"['OCW', 'OpenCourseWare', 'OER', 'open educational resources', 'semantic web', 'linked data', 'social networks analysis', 'SNA']",POINT (-79.8053425 -4.0528506)
Jorge Lopez,Loja,"['OCW', 'OpenCourseWare', 'OER', 'open educational resources', 'semantic web', 'linked data', 'social networks analysis', 'SNA']",POINT (-79.8053425 -4.0528506)
Oscar Martinez-Bonastre,Elche,"['OCW', 'OpenCourseWare', 'OER', 'open educational resources', 'semantic web', 'linked data', 'social networks analysis', 'SNA']",POINT (-0.6988391 38.2653307)
Christian Gütl,Graz,[],POINT (15.4382786 47.0708678)
David Lizcano,Madrid,"['end-user development', 'end-user software engineering', 'domain experts', 'domain-specific software development', 'ecologies of participation']",POINT (-3.7035825 40.4167047)
Fernando Alonso,Madrid,"['end-user development', 'end-user software engineering', 'domain experts', 'domain-specific software development', 'ecologies of participation']",POINT (-3.7035825 40.4167047)
Javier Soriano,Madrid,"['end-user development', 'end-user software engineering', 'domain experts', 'domain-specific software development', 'ecologies of participation']",POINT (-3.7035825 40.4167047)
Genoveva López,Madrid,"['end-user development', 'end-user software engineering', 'domain experts', 'domain-specific software development', 'ecologies of participation']",POINT (-3.7035825 40.4167047)
Nadeem Mahmood,Karachi,"['temporal and fuzzy ontological framework', 'knowledge management systems', 'healthcare systems', 'patient information system', 'temporal and fuzzy database system']",POINT (67.2034654 25.0726735)
S. M. Aqil Burney,Karachi,"['temporal and fuzzy ontological framework', 'knowledge management systems', 'healthcare systems', 'patient information system', 'temporal and fuzzy database system']",POINT (67.2034654 25.0726735)
Kamran Ahsan,Stafford,"['temporal and fuzzy ontological framework', 'knowledge management systems', 'healthcare systems', 'patient information system', 'temporal and fuzzy database system']",POINT (-2.1163818 52.8063157)
Jorge Martinez-Gil,Málaga,"['ontology matching', 'knowledge integration', 'software tools']",POINT (-4.4216366 36.7213028)
Ismael Navas-Delgado,Málaga,"['ontology matching', 'knowledge integration', 'software tools']",POINT (-4.4216366 36.7213028)
Jose F. Aldana-Montes,Málaga,"['ontology matching', 'knowledge integration', 'software tools']",POINT (-4.4216366 36.7213028)
Goran Martinovic,Osijek,"['benchmark', 'operating system', 'performance evaluation', 'performance measurement', 'Windows 7', 'Windows Vista', 'Windows XP']",POINT (18.6953685 45.5548793)
Josip Balen,Osijek,"['benchmark', 'operating system', 'performance evaluation', 'performance measurement', 'Windows 7', 'Windows Vista', 'Windows XP']",POINT (18.6953685 45.5548793)
Bojan Cukic,Morgantown,"['benchmark', 'operating system', 'performance evaluation', 'performance measurement', 'Windows 7', 'Windows Vista', 'Windows XP']",POINT (-79.9559437 39.6296809)
Joaquin Olivares,Cordoba,"['video', 'high-speed arithmetics', 'parallel architectures', 'special-purpose and application-based systems']",POINT (-4.7760138 37.8845813)
Guillermo Vega-Gorgojo,Valladolid,"['C.2.4', 'H.3.3', 'K.3.1']",POINT (-4.728562 41.6521328)
Eduardo Gómez-Sánchez,Valladolid,"['C.2.4', 'H.3.3', 'K.3.1']",POINT (-4.728562 41.6521328)
Miguel L. Bote-Lorenzo,Valladolid,"['C.2.4', 'H.3.3', 'K.3.1']",POINT (-4.728562 41.6521328)
Lorenzo Cantoni,Lugano,[],POINT (8.9520281 46.0050102)
Isabella Rega,Lugano,[],POINT (8.9520281 46.0050102)
Stefan Minder,Bern,"['text-to-speech', 'TTS', 'e-learning', 'modality effect', 'split attention']",POINT (7.4521749 46.9484742)
Michele Notari,Bern,"['text-to-speech', 'TTS', 'e-learning', 'modality effect', 'split attention']",POINT (7.4521749 46.9484742)
Felix Schmitz,Bern,"['text-to-speech', 'TTS', 'e-learning', 'modality effect', 'split attention']",POINT (7.4521749 46.9484742)
Rainer Hofer,Bern,"['text-to-speech', 'TTS', 'e-learning', 'modality effect', 'split attention']",POINT (7.4521749 46.9484742)
Ulrich Woermann,Bern,"['text-to-speech', 'TTS', 'e-learning', 'modality effect', 'split attention']",POINT (7.4521749 46.9484742)
Mike Tissenbaum,Toronto,"['future classrooms', 'science education']",POINT (-79.3839347 43.6534817)
Michelle Lui,Toronto,"['future classrooms', 'science education']",POINT (-79.3839347 43.6534817)
James D. Slotta,Toronto,"['future classrooms', 'science education']",POINT (-79.3839347 43.6534817)
Luca Botturi,Locarno,"['gender', 'digital divide', 'college', 'Switzerland']",POINT (8.7954217 46.1695112)
Chiara Bramani,Lugano,"['gender', 'digital divide', 'college', 'Switzerland']",POINT (8.9520281 46.0050102)
Sean McCusker,Durham,"['gender', 'digital divide', 'college', 'Switzerland']",POINT (-1.5756205 54.7770139)
Paolo Ferri,Milan,"['social networks', 'Web 2.0', 'digital natives', 'personal learning environments']",POINT (9.1896346 45.4641943)
Andrea Pozzali,Rome,"['social networks', 'Web 2.0', 'digital natives', 'personal learning environments']",POINT (-85.1646726 34.257038)
Jue Wang,Genève,"['foreign language teaching and learning', 'tandem language learning', 'telecollaboration', 'intercultural competence', 'peer-to-peer correction', 'tutoring', 'design-based research']",POINT (6.1466014 46.2017559)
Claudia Berger,Genève,"['foreign language teaching and learning', 'tandem language learning', 'telecollaboration', 'intercultural competence', 'peer-to-peer correction', 'tutoring', 'design-based research']",POINT (6.1466014 46.2017559)
Nicolas Szilas,Genève,"['foreign language teaching and learning', 'tandem language learning', 'telecollaboration', 'intercultural competence', 'peer-to-peer correction', 'tutoring', 'design-based research']",POINT (6.1466014 46.2017559)
Isabella Rega,Lugano,"['ICT', 'teacher training', 'self-efficacy', 'quantitative methods', 'qualitative methods', 'disadvantaged contexts', 'ICT4E']",POINT (8.9520281 46.0050102)
Francesca Fanni,Lugano,"['ICT', 'teacher training', 'self-efficacy', 'quantitative methods', 'qualitative methods', 'disadvantaged contexts', 'ICT4E']",POINT (8.9520281 46.0050102)
Izak van Zyl,Lugano,"['home-based healthcare', 'informal learning', 'digital technologies', 'socio-cultural dynamics']",POINT (8.9520281 46.0050102)
Retha de la Harpe,Cape Town,"['home-based healthcare', 'informal learning', 'digital technologies', 'socio-cultural dynamics']",POINT (18.417396 -33.928992)
Jason J. Jung,Gyeongsan,[],POINT (128.741329 35.825122)
Przemysław Kazienko,Wrocław,[],POINT (17.0326689 51.1089776)
Qinna Wang,Lyon,"['fuzzy community detection', 'overlapping community detection', 'community detection', 'modularity', 'large-scale networks']",POINT (4.8320114 45.7578137)
Eric Fleury,Lyon,"['fuzzy community detection', 'overlapping community detection', 'community detection', 'modularity', 'large-scale networks']",POINT (4.8320114 45.7578137)
John Boaz Lee,Quezon City,"['social voter', 'social network analysis', 'logistic regression', 'social influence', 'election analysis']",POINT (121.04821 14.6508)
Gerard Cabunducan,Quezon City,"['social voter', 'social network analysis', 'logistic regression', 'social influence', 'election analysis']",POINT (121.04821 14.6508)
Francis George C. Cabarle,Quezon City,"['social voter', 'social network analysis', 'logistic regression', 'social influence', 'election analysis']",POINT (121.04821 14.6508)
Raphael Castillo,Quezon City,"['social voter', 'social network analysis', 'logistic regression', 'social influence', 'election analysis']",POINT (121.04821 14.6508)
Jasmine A. Malinao,Quezon City,"['social voter', 'social network analysis', 'logistic regression', 'social influence', 'election analysis']",POINT (121.04821 14.6508)
Onur C. Sert,Ankara,"['multi-objective clustering', 'NSGA-II', 'h-confidence']",POINT (32.8540497 39.9207759)
Kayhan Dursun,Ankara,"['multi-objective clustering', 'NSGA-II', 'h-confidence']",POINT (32.8540497 39.9207759)
Tansel Özyer,Ankara,"['multi-objective clustering', 'NSGA-II', 'h-confidence']",POINT (32.8540497 39.9207759)
Jamal Jida,Tripoli,"['multi-objective clustering', 'NSGA-II', 'h-confidence']",POINT (13.1777923 32.896672)
Reda Alhajj,Calgary,"['multi-objective clustering', 'NSGA-II', 'h-confidence']",POINT (-114.057541 51.0456064)
Joo Young Lee,Syracuse,"['social network', 'reputation management', 'community analysis', 'computer security']",POINT (-76.1474244 43.0481221)
Yue Duan,Syracuse,"['social network', 'reputation management', 'community analysis', 'computer security']",POINT (-76.1474244 43.0481221)
Jae C. Oh,Syracuse,"['social network', 'reputation management', 'community analysis', 'computer security']",POINT (-76.1474244 43.0481221)
Wenliang Du,Syracuse,"['social network', 'reputation management', 'community analysis', 'computer security']",POINT (-76.1474244 43.0481221)
Howard Blair,Syracuse,"['social network', 'reputation management', 'community analysis', 'computer security']",POINT (-76.1474244 43.0481221)
Lusha Wang,Syracuse,"['social network', 'reputation management', 'community analysis', 'computer security']",POINT (-76.1474244 43.0481221)
Xing Jin,Syracuse,"['social network', 'reputation management', 'community analysis', 'computer security']",POINT (-76.1474244 43.0481221)
I-Hsing Ting,Kaohsiung,"['social networks analysis', 'social recommendation system', 'microblogs', 'target marketing']",POINT (120.3120375 22.6203348)
Pei Shan Chang,Kaohsiung,"['social networks analysis', 'social recommendation system', 'microblogs', 'target marketing']",POINT (120.3120375 22.6203348)
Shyue-Liang Wang,Kaohsiung,"['social networks analysis', 'social recommendation system', 'microblogs', 'target marketing']",POINT (120.3120375 22.6203348)
Anna Zygmunt,Kraków,"['social network', 'social network analysis', 'SNA', 'social community extraction', 'social group', 'persistent group', 'stable social group', 'key person', 'role identification', 'blogosphere', 'CPM', 'fast modularity optimization', 'node position']",POINT (19.9368564 50.0619474)
Piotr Bródka,Wrocław,"['social network', 'social network analysis', 'SNA', 'social community extraction', 'social group', 'persistent group', 'stable social group', 'key person', 'role identification', 'blogosphere', 'CPM', 'fast modularity optimization', 'node position']",POINT (17.0326689 51.1089776)
Przemysław Kazienko,Wrocław,"['social network', 'social network analysis', 'SNA', 'social community extraction', 'social group', 'persistent group', 'stable social group', 'key person', 'role identification', 'blogosphere', 'CPM', 'fast modularity optimization', 'node position']",POINT (17.0326689 51.1089776)
Jarosław Koźlak,Kraków,"['social network', 'social network analysis', 'SNA', 'social community extraction', 'social group', 'persistent group', 'stable social group', 'key person', 'role identification', 'blogosphere', 'CPM', 'fast modularity optimization', 'node position']",POINT (19.9368564 50.0619474)
Christian Gütl,Graz,[],POINT (15.4382786 47.0708678)
Grzegorz Chmaj,Wrocław,"['computing systems', 'P2P', 'unicast', 'anycast', 'networks', 'simulation']",POINT (17.0326689 51.1089776)
Krzysztof Walkowiak,Wrocław,"['computing systems', 'P2P', 'unicast', 'anycast', 'networks', 'simulation']",POINT (17.0326689 51.1089776)
Ismael Hasan,Coruña,"['PDF', 'text preprocessing', 'text extraction', 'ordered text extraction', 'text mining', 'evaluation']",POINT (-8.3959425 43.3709703)
Javier Parapar,Coruña,"['PDF', 'text preprocessing', 'text extraction', 'ordered text extraction', 'text mining', 'evaluation']",POINT (-8.3959425 43.3709703)
Álvaro Barreiro,Coruña,"['PDF', 'text preprocessing', 'text extraction', 'ordered text extraction', 'text mining', 'evaluation']",POINT (-8.3959425 43.3709703)
Jong Wook Kim,El Segundo,"['Wikipedia', 'concept', 'semantic interpretation']",POINT (-118.4156337 33.917028)
Ashwin Kashyap,Palo Alto,"['Wikipedia', 'concept', 'semantic interpretation']",POINT (-122.1598465 37.4443293)
Sandilya Bhamidipati,Palo Alto,"['Wikipedia', 'concept', 'semantic interpretation']",POINT (-122.1598465 37.4443293)
Ahmed Nait-Sidi-Moh,Saint Quentin,"['web service access control', 'electronic exchanges', 'modeling', 'evaluation and simulation', 'dimensioning and improvement', 'Petri nets and (max', ' +)-algebra']",POINT (3.2876843 49.8465253)
Mohamed Bakhouya,Helsinki,"['web service access control', 'electronic exchanges', 'modeling', 'evaluation and simulation', 'dimensioning and improvement', 'Petri nets and (max', ' +)-algebra']",POINT (24.9427473 60.1674881)
Wafaa Ait-Cheik-Bihi,Strasbourg,"['web service access control', 'electronic exchanges', 'modeling', 'evaluation and simulation', 'dimensioning and improvement', 'Petri nets and (max', ' +)-algebra']",POINT (7.7507127 48.584614)
Jaafar Gaber,Belfort,"['web service access control', 'electronic exchanges', 'modeling', 'evaluation and simulation', 'dimensioning and improvement', 'Petri nets and (max', ' +)-algebra']",POINT (6.8628942 47.6379599)
Mabel Vazquez-Briseno,Ensenada,"['mobile computing', 'mobile information systems', 'software', 'mobile devices', 'multimedia']",POINT (-116.602983 31.8658887)
Pierre Vincent,Lille,"['mobile computing', 'mobile information systems', 'software', 'mobile devices', 'multimedia']",POINT (3.0635282 50.6365654)
Juan Ivan Nieto-Hipolito,Ensenada,"['mobile computing', 'mobile information systems', 'software', 'mobile devices', 'multimedia']",POINT (-116.602983 31.8658887)
Juan de Dios Sanchez-Lopez,Ensenada,"['mobile computing', 'mobile information systems', 'software', 'mobile devices', 'multimedia']",POINT (-116.602983 31.8658887)
David G. Rosado,Ciudad Real,[],POINT (-3.9285138 38.9854201)
Luis Enrique Sánchez,Ciudad Real,[],POINT (-3.9285138 38.9854201)
Eduardo Fernández-Medina,Dortmund,[],POINT (7.4652789 51.5142273)
Hannes Holm,Stockholm,"['cyber security', 'remote code execution', 'software vulnerabilities']",POINT (18.0710935 59.3251172)
Teodor Sommestad,Stockholm,"['cyber security', 'remote code execution', 'software vulnerabilities']",POINT (18.0710935 59.3251172)
Ulrik Franke,Stockholm,"['cyber security', 'remote code execution', 'software vulnerabilities']",POINT (18.0710935 59.3251172)
Mathias Ekstedt,Stockholm,"['cyber security', 'remote code execution', 'software vulnerabilities']",POINT (18.0710935 59.3251172)
Ickin Vural,Pretoria,"['Botnet', 'mobile', 'malware', 'computational intelligence', 'artificial immune system']",POINT (28.1879101 -25.7459277)
Hein S. Venter,Pretoria,"['Botnet', 'mobile', 'malware', 'computational intelligence', 'artificial immune system']",POINT (28.1879101 -25.7459277)
Pattama Charuenporn,Bangkok,"['quality of service', 'ITIL', 'COBIT', 'security metrics and measurement', 'security for web service']",POINT (100.4935089 13.7524938)
Sarun Intakosum,Bangkok,"['quality of service', 'ITIL', 'COBIT', 'security metrics and measurement', 'security for web service']",POINT (100.4935089 13.7524938)
Oscar Rebollo,Madrid,"['information security governance', 'cloud computing', 'systematic literature review']",POINT (-3.7035825 40.4167047)
Daniel Mellado,Ciudad Real,"['information security governance', 'cloud computing', 'systematic literature review']",POINT (-3.9285138 38.9854201)
Eduardo Fernández-Medina,Ciudad Real,"['information security governance', 'cloud computing', 'systematic literature review']",POINT (-3.9285138 38.9854201)
Raimundas Matulevičius,Tartu,"['risk management', 'information system', 'security', 'secure tropos', 'syntax and semantics of modelling language']",POINT (26.72245 58.3801207)
Haralambos Mouratidis,London,"['risk management', 'information system', 'security', 'secure tropos', 'syntax and semantics of modelling language']",POINT (-0.1277653 51.5074456)
Nicolas Mayer,Luxembourg,"['risk management', 'information system', 'security', 'secure tropos', 'syntax and semantics of modelling language']",POINT (6.129799 49.6112768)
Eric Dubois,Luxembourg,"['risk management', 'information system', 'security', 'secure tropos', 'syntax and semantics of modelling language']",POINT (6.129799 49.6112768)
Patrick Heymans,Namur,"['risk management', 'information system', 'security', 'secure tropos', 'syntax and semantics of modelling language']",POINT (4.8661892 50.4665284)
Carla-Lee Botha,Pretoria,"['information security awareness', 'online banking', 'home users', 'legislation', 'best practice', 'South Africa']",POINT (28.1879101 -25.7459277)
Elmarie Kritzinger,Pretoria,"['information security awareness', 'online banking', 'home users', 'legislation', 'best practice', 'South Africa']",POINT (28.1879101 -25.7459277)
Marianne Loock,Pretoria,"['information security awareness', 'online banking', 'home users', 'legislation', 'best practice', 'South Africa']",POINT (28.1879101 -25.7459277)
Jezabel Molina-Gil,Tenerife,"['VANETs', 'cooperation', 'self-management', 'security', 'misbehaviour', 'ITS']",POINT (-16.621447121144122 28.2935785)
Pino Caballero-Gil,Tenerife,"['VANETs', 'cooperation', 'self-management', 'security', 'misbehaviour', 'ITS']",POINT (-16.621447121144122 28.2935785)
Cándido Caballero-Gil,Tenerife,"['VANETs', 'cooperation', 'self-management', 'security', 'misbehaviour', 'ITS']",POINT (-16.621447121144122 28.2935785)
Saïd Gharout,Caen,"['confidentiality', 'key management', 'group communication', 'mobility']",POINT (-107.991707 61.0666922)
Abdelmadjid Bouabdallah,Compiègne,"['confidentiality', 'key management', 'group communication', 'mobility']",POINT (2.8263171 49.4179497)
Yacine Challal,Compiègne,"['confidentiality', 'key management', 'group communication', 'mobility']",POINT (2.8263171 49.4179497)
Mohammed Achemlal,Caen,"['confidentiality', 'key management', 'group communication', 'mobility']",POINT (-107.991707 61.0666922)
Nadia Nedjah,Rio de Janeiro,[],POINT (-43.2093727 -22.9110137)
Luiza de Macedo Mourelle,Rio de Janeiro,[],POINT (-43.2093727 -22.9110137)
Freddy Bolanos,Medellin,"['multiprocessor-system-on-chip (MPSoC)', 'network-on-chip (NoC)', 'population-based incremental learning (PBIL)', 'computer-aided design (CAD)']",POINT (-75.573553 6.2443382)
Jose Edison Aedo,Medellin,"['multiprocessor-system-on-chip (MPSoC)', 'network-on-chip (NoC)', 'population-based incremental learning (PBIL)', 'computer-aided design (CAD)']",POINT (-75.573553 6.2443382)
Fredy Rivera,Medellin,"['multiprocessor-system-on-chip (MPSoC)', 'network-on-chip (NoC)', 'population-based incremental learning (PBIL)', 'computer-aided design (CAD)']",POINT (-75.573553 6.2443382)
Nader Bagherzadeh,Irvine,"['multiprocessor-system-on-chip (MPSoC)', 'network-on-chip (NoC)', 'population-based incremental learning (PBIL)', 'computer-aided design (CAD)']",POINT (-117.8259819 33.6856969)
Luneque Silva Junior,Rio de Janeiro,"['network-on-chip', 'packet routing', 'ant colony optimization']",POINT (-43.2093727 -22.9110137)
Nadia Nedjah,Rio de Janeiro,"['network-on-chip', 'packet routing', 'ant colony optimization']",POINT (-43.2093727 -22.9110137)
Luiza de Macedo Mourelle,Rio de Janeiro,"['network-on-chip', 'packet routing', 'ant colony optimization']",POINT (-43.2093727 -22.9110137)
Maurizio Palesi,Enna,"['networks-on-chip', 'topological mapping', 'multi-objective optimization', 'routing algorithm', 'genetic algorithm', 'fault-tolerance', 'performance analysis']",POINT (14.2807473 37.5667573)
Rafael Tornero,Valencia,"['networks-on-chip', 'topological mapping', 'multi-objective optimization', 'routing algorithm', 'genetic algorithm', 'fault-tolerance', 'performance analysis']",POINT (-0.3763353 39.4697065)
Juan Manuel Orduñna,Valencia,"['networks-on-chip', 'topological mapping', 'multi-objective optimization', 'routing algorithm', 'genetic algorithm', 'fault-tolerance', 'performance analysis']",POINT (-0.3763353 39.4697065)
Vincenzo Catania,Catania,"['networks-on-chip', 'topological mapping', 'multi-objective optimization', 'routing algorithm', 'genetic algorithm', 'fault-tolerance', 'performance analysis']",POINT (15.0873718 37.5023612)
Daniela Panno,Catania,"['networks-on-chip', 'topological mapping', 'multi-objective optimization', 'routing algorithm', 'genetic algorithm', 'fault-tolerance', 'performance analysis']",POINT (15.0873718 37.5023612)
Jason J. Jung,Gyeongsan,[],POINT (128.741329 35.825122)
Przemysław Kazienko,Wrocław,[],POINT (17.0326689 51.1089776)
Wilas Chamlertwat,Bangkok,"['micro-blog', 'sentiment analysis', 'natural language processing', 'information extraction', 'information visualization']",POINT (100.4935089 13.7524938)
Pattarasinee Bhattarakosol,Bangkok,"['micro-blog', 'sentiment analysis', 'natural language processing', 'information extraction', 'information visualization']",POINT (100.4935089 13.7524938)
Tippakorn Rungkasiri,Bangkok,"['micro-blog', 'sentiment analysis', 'natural language processing', 'information extraction', 'information visualization']",POINT (100.4935089 13.7524938)
Choochart Haruechaiyasak,Pathumthani,"['micro-blog', 'sentiment analysis', 'natural language processing', 'information extraction', 'information visualization']",POINT (100.51976929479142 13.97270675)
Mahalakshmi G. Suryanarayanan,Chennai,"['fuzzy cognitive maps', 'knowledge networks']",POINT (80.270186 13.0836939)
Dilip S. Sam,Chennai,"['fuzzy cognitive maps', 'knowledge networks']",POINT (80.270186 13.0836939)
Sendhilkumar Selvaraju,Chennai,"['fuzzy cognitive maps', 'knowledge networks']",POINT (80.270186 13.0836939)
Xuan Hau Pham,Gyeongsan,"['social pulse', 'social tagging', 'information propagation', 'inducibility']",POINT (128.741329 35.825122)
Jason J. Jung,Gyeongsan,"['social pulse', 'social tagging', 'information propagation', 'inducibility']",POINT (128.741329 35.825122)
Dosam Hwang,Gyeongsan,"['social pulse', 'social tagging', 'information propagation', 'inducibility']",POINT (128.741329 35.825122)
Ting Ting Qin,Hiroshima,"['P2P system', 'text clustering', 'automatic tag attachment', 'K-DMeans', 'TFIDCF']",POINT (132.4517589 34.3917241)
Satoshi Fujita,Hiroshima,"['P2P system', 'text clustering', 'automatic tag attachment', 'K-DMeans', 'TFIDCF']",POINT (132.4517589 34.3917241)
Victor Ströele,Rio de Janeiro,"['knowledge flow', 'Multi-relational Scientific Social Network Analysis', 'Max Flow Grouping Algorithm', 'weighted relationships']",POINT (-43.2093727 -22.9110137)
Geraldo Zimbrão,Rio de Janeiro,"['knowledge flow', 'Multi-relational Scientific Social Network Analysis', 'Max Flow Grouping Algorithm', 'weighted relationships']",POINT (-43.2093727 -22.9110137)
Jano M. Souza,Rio de Janeiro,"['knowledge flow', 'Multi-relational Scientific Social Network Analysis', 'Max Flow Grouping Algorithm', 'weighted relationships']",POINT (-43.2093727 -22.9110137)
Daqiang Zhang,Nanjing,[],POINT (118.7788631 32.0438284)
Huansheng Ning,Beijing,[],POINT (116.412144 40.190632)
Kevin S. Xu,Changzhou,[],POINT (119.9691539 31.8122623)
Feiyu Lin,Jönköping,[],POINT (14.165719 57.7825634)
Laurence T. Yang,Vancouver,[],POINT (-123.113952 49.2608724)
Hongyu Huang,Chongqing,"['Vehicular Ad Hoc Network', 'Mobility Model', 'Taxi GPS Data']",POINT (106.5479189 29.5656729)
Daqiang Zhang,Nanjing,"['Vehicular Ad Hoc Network', 'Mobility Model', 'Taxi GPS Data']",POINT (118.7788631 32.0438284)
Yanmin Zhu,Shanghai,"['Vehicular Ad Hoc Network', 'Mobility Model', 'Taxi GPS Data']",POINT (121.4700152 31.2312707)
Minglu Li,Shanghai,"['Vehicular Ad Hoc Network', 'Mobility Model', 'Taxi GPS Data']",POINT (121.4700152 31.2312707)
Min-You Wu,Shanghai,"['Vehicular Ad Hoc Network', 'Mobility Model', 'Taxi GPS Data']",POINT (121.4700152 31.2312707)
