source,source_location,target,target_location,source_coordinates,target_coordinates
0,Plymouth,2,Dublin,"(-4.1424451, 50.3714122)","(-6.2605593, 53.3493795)"
0,Plymouth,4,Galway,"(-4.1424451, 50.3714122)","(-9.0490601, 53.2744122)"
0,Plymouth,5,Galway,"(-4.1424451, 50.3714122)","(-9.0490601, 53.2744122)"
0,Plymouth,6,Dublin,"(-4.1424451, 50.3714122)","(-6.2605593, 53.3493795)"
0,Plymouth,14,Dublin,"(-4.1424451, 50.3714122)","(-6.2605593, 53.3493795)"
0,Plymouth,25,Plymouth,"(-4.1424451, 50.3714122)","(-4.1424451, 50.3714122)"
2,Dublin,3,Cork,"(-6.2605593, 53.3493795)","(-8.4654674, 51.897077)"
2,Dublin,4,Galway,"(-6.2605593, 53.3493795)","(-9.0490601, 53.2744122)"
2,Dublin,5,Galway,"(-6.2605593, 53.3493795)","(-9.0490601, 53.2744122)"
2,Dublin,6,Dublin,"(-6.2605593, 53.3493795)","(-6.2605593, 53.3493795)"
2,Dublin,7,Manchester,"(-6.2605593, 53.3493795)","(-2.2451148, 53.4794892)"
2,Dublin,18,London,"(-6.2605593, 53.3493795)","(-0.1277653, 51.5074456)"
2,Dublin,21,Manchester,"(-6.2605593, 53.3493795)","(-2.2451148, 53.4794892)"
2,Dublin,33,Plymouth,"(-6.2605593, 53.3493795)","(-4.1424451, 50.3714122)"
2,Dublin,40,Edinburgh,"(-6.2605593, 53.3493795)","(-3.1883749, 55.9533456)"
2,Dublin,46,Cork,"(-6.2605593, 53.3493795)","(-8.4654674, 51.897077)"
2,Dublin,51,Cork,"(-6.2605593, 53.3493795)","(-8.4654674, 51.897077)"
2,Dublin,60,Dublin,"(-6.2605593, 53.3493795)","(-6.2605593, 53.3493795)"
2,Dublin,76,London,"(-6.2605593, 53.3493795)","(-0.1277653, 51.5074456)"
2,Dublin,83,Aberdeen,"(-6.2605593, 53.3493795)","(-2.0928095, 57.1482429)"
2,Dublin,98,Cork,"(-6.2605593, 53.3493795)","(-8.4654674, 51.897077)"
4,Galway,36,Edinburgh,"(-9.0490601, 53.2744122)","(-3.1883749, 55.9533456)"
4,Galway,50,Dublin,"(-9.0490601, 53.2744122)","(-6.2605593, 53.3493795)"
4,Galway,74,Galway,"(-9.0490601, 53.2744122)","(-9.0490601, 53.2744122)"
5,Galway,13,Aberdeen,"(-9.0490601, 53.2744122)","(-2.0928095, 57.1482429)"
5,Galway,25,Plymouth,"(-9.0490601, 53.2744122)","(-4.1424451, 50.3714122)"
5,Galway,32,Aberdeen,"(-9.0490601, 53.2744122)","(-2.0928095, 57.1482429)"
5,Galway,36,Edinburgh,"(-9.0490601, 53.2744122)","(-3.1883749, 55.9533456)"
5,Galway,40,Edinburgh,"(-9.0490601, 53.2744122)","(-3.1883749, 55.9533456)"
5,Galway,55,Manchester,"(-9.0490601, 53.2744122)","(-2.2451148, 53.4794892)"
7,Manchester,8,Aberdeen,"(-2.2451148, 53.4794892)","(-2.0928095, 57.1482429)"
7,Manchester,15,London,"(-2.2451148, 53.4794892)","(-0.1277653, 51.5074456)"
7,Manchester,32,Aberdeen,"(-2.2451148, 53.4794892)","(-2.0928095, 57.1482429)"
7,Manchester,65,Plymouth,"(-2.2451148, 53.4794892)","(-4.1424451, 50.3714122)"
7,Manchester,73,Manchester,"(-2.2451148, 53.4794892)","(-2.2451148, 53.4794892)"
7,Manchester,92,Dublin,"(-2.2451148, 53.4794892)","(-6.2605593, 53.3493795)"
8,Aberdeen,13,Aberdeen,"(-2.0928095, 57.1482429)","(-2.0928095, 57.1482429)"
8,Aberdeen,17,London,"(-2.0928095, 57.1482429)","(-0.1277653, 51.5074456)"
8,Aberdeen,21,Manchester,"(-2.0928095, 57.1482429)","(-2.2451148, 53.4794892)"
8,Aberdeen,30,Dublin,"(-2.0928095, 57.1482429)","(-6.2605593, 53.3493795)"
8,Aberdeen,44,Manchester,"(-2.0928095, 57.1482429)","(-2.2451148, 53.4794892)"
13,Aberdeen,15,London,"(-2.0928095, 57.1482429)","(-0.1277653, 51.5074456)"
13,Aberdeen,46,Cork,"(-2.0928095, 57.1482429)","(-8.4654674, 51.897077)"
13,Aberdeen,91,Dublin,"(-2.0928095, 57.1482429)","(-6.2605593, 53.3493795)"
14,Dublin,55,Manchester,"(-6.2605593, 53.3493795)","(-2.2451148, 53.4794892)"
14,Dublin,91,Dublin,"(-6.2605593, 53.3493795)","(-6.2605593, 53.3493795)"
17,London,81,London,"(-0.1277653, 51.5074456)","(-0.1277653, 51.5074456)"
30,Dublin,86,London,"(-6.2605593, 53.3493795)","(-0.1277653, 51.5074456)"
39,Aberdeen,51,Cork,"(-2.0928095, 57.1482429)","(-8.4654674, 51.897077)"
39,Aberdeen,60,Dublin,"(-2.0928095, 57.1482429)","(-6.2605593, 53.3493795)"
39,Aberdeen,70,Dublin,"(-2.0928095, 57.1482429)","(-6.2605593, 53.3493795)"
45,Manchester,76,London,"(-2.2451148, 53.4794892)","(-0.1277653, 51.5074456)"
47,Galway,73,Manchester,"(-9.0490601, 53.2744122)","(-2.2451148, 53.4794892)"
47,Galway,74,Galway,"(-9.0490601, 53.2744122)","(-9.0490601, 53.2744122)"
47,Galway,96,Dublin,"(-9.0490601, 53.2744122)","(-6.2605593, 53.3493795)"
51,Cork,69,Glasgow,"(-8.4654674, 51.897077)","(-4.2501687, 55.861155)"
60,Dublin,81,London,"(-6.2605593, 53.3493795)","(-0.1277653, 51.5074456)"
