source,source_location,target,target_location,source_coordinates,target_coordinates
2,Galway,6,Cork,"(-9.0490601, 53.2744122)","(-8.4654674, 51.897077)"
2,Galway,14,Galway,"(-9.0490601, 53.2744122)","(-9.0490601, 53.2744122)"
2,Galway,22,Plymouth,"(-9.0490601, 53.2744122)","(-4.1424451, 50.3714122)"
2,Galway,36,Edinburgh,"(-9.0490601, 53.2744122)","(-3.1883749, 55.9533456)"
4,Galway,5,Edinburgh,"(-9.0490601, 53.2744122)","(-3.1883749, 55.9533456)"
4,Galway,10,Manchester,"(-9.0490601, 53.2744122)","(-2.2451148, 53.4794892)"
4,Galway,18,Galway,"(-9.0490601, 53.2744122)","(-9.0490601, 53.2744122)"
4,Galway,22,Plymouth,"(-9.0490601, 53.2744122)","(-4.1424451, 50.3714122)"
4,Galway,31,Glasgow,"(-9.0490601, 53.2744122)","(-4.2501687, 55.861155)"
4,Galway,53,London,"(-9.0490601, 53.2744122)","(-0.1277653, 51.5074456)"
4,Galway,64,Cork,"(-9.0490601, 53.2744122)","(-8.4654674, 51.897077)"
6,Cork,20,Edinburgh,"(-8.4654674, 51.897077)","(-3.1883749, 55.9533456)"
6,Cork,44,Galway,"(-8.4654674, 51.897077)","(-9.0490601, 53.2744122)"
10,Manchester,21,Aberdeen,"(-2.2451148, 53.4794892)","(-2.0928095, 57.1482429)"
10,Manchester,48,Cork,"(-2.2451148, 53.4794892)","(-8.4654674, 51.897077)"
14,Galway,40,Aberdeen,"(-9.0490601, 53.2744122)","(-2.0928095, 57.1482429)"
14,Galway,46,London,"(-9.0490601, 53.2744122)","(-0.1277653, 51.5074456)"
14,Galway,69,Cork,"(-9.0490601, 53.2744122)","(-8.4654674, 51.897077)"
14,Galway,79,Manchester,"(-9.0490601, 53.2744122)","(-2.2451148, 53.4794892)"
15,Plymouth,16,Dublin,"(-4.1424451, 50.3714122)","(-6.2605593, 53.3493795)"
15,Plymouth,19,Plymouth,"(-4.1424451, 50.3714122)","(-4.1424451, 50.3714122)"
15,Plymouth,25,Dublin,"(-4.1424451, 50.3714122)","(-6.2605593, 53.3493795)"
15,Plymouth,48,Cork,"(-4.1424451, 50.3714122)","(-8.4654674, 51.897077)"
15,Plymouth,77,Edinburgh,"(-4.1424451, 50.3714122)","(-3.1883749, 55.9533456)"
16,Dublin,58,Dublin,"(-6.2605593, 53.3493795)","(-6.2605593, 53.3493795)"
16,Dublin,80,Aberdeen,"(-6.2605593, 53.3493795)","(-2.0928095, 57.1482429)"
19,Plymouth,52,Manchester,"(-4.1424451, 50.3714122)","(-2.2451148, 53.4794892)"
19,Plymouth,54,London,"(-4.1424451, 50.3714122)","(-0.1277653, 51.5074456)"
19,Plymouth,78,London,"(-4.1424451, 50.3714122)","(-0.1277653, 51.5074456)"
20,Edinburgh,33,Aberdeen,"(-3.1883749, 55.9533456)","(-2.0928095, 57.1482429)"
20,Edinburgh,42,Cork,"(-3.1883749, 55.9533456)","(-8.4654674, 51.897077)"
20,Edinburgh,71,London,"(-3.1883749, 55.9533456)","(-0.1277653, 51.5074456)"
21,Aberdeen,61,Plymouth,"(-2.0928095, 57.1482429)","(-4.1424451, 50.3714122)"
22,Plymouth,42,Cork,"(-4.1424451, 50.3714122)","(-8.4654674, 51.897077)"
22,Plymouth,93,Aberdeen,"(-4.1424451, 50.3714122)","(-2.0928095, 57.1482429)"
30,Plymouth,44,Galway,"(-4.1424451, 50.3714122)","(-9.0490601, 53.2744122)"
30,Plymouth,60,Galway,"(-4.1424451, 50.3714122)","(-9.0490601, 53.2744122)"
32,Manchester,38,Manchester,"(-2.2451148, 53.4794892)","(-2.2451148, 53.4794892)"
38,Manchester,43,Dublin,"(-2.2451148, 53.4794892)","(-6.2605593, 53.3493795)"
42,Cork,65,Cork,"(-8.4654674, 51.897077)","(-8.4654674, 51.897077)"
42,Cork,83,Glasgow,"(-8.4654674, 51.897077)","(-4.2501687, 55.861155)"
44,Galway,54,London,"(-9.0490601, 53.2744122)","(-0.1277653, 51.5074456)"
48,Cork,69,Cork,"(-8.4654674, 51.897077)","(-8.4654674, 51.897077)"
51,Galway,61,Plymouth,"(-9.0490601, 53.2744122)","(-4.1424451, 50.3714122)"
51,Galway,80,Aberdeen,"(-9.0490601, 53.2744122)","(-2.0928095, 57.1482429)"
52,Manchester,77,Edinburgh,"(-2.2451148, 53.4794892)","(-3.1883749, 55.9533456)"
54,London,58,Dublin,"(-0.1277653, 51.5074456)","(-6.2605593, 53.3493795)"
79,Manchester,97,Cork,"(-2.2451148, 53.4794892)","(-8.4654674, 51.897077)"
